,time,speed,i
0,0.027,0.7123963841257566,-14.626140838518195
1,0.065,7.427024667684269,-16.90816581938343
2,0.106,8.851087340685575,20.53310110077339
3,0.172,67.48668631770083,74.84978572760907
4,0.216,219.05871661750712,112.54845055539262
5,0.254,406.5171045545472,137.06183770928067
6,0.275,554.0120401448512,150.35131747992094
7,0.29,682.3742497389977,159.45879398796498
8,0.326,1018.3485463763925,176.36687025095932
9,0.352,1306.8091596185593,185.39711028289537
10,0.387,1748.7201904822307,192.2657803344148
11,0.469,2540.1784507696584,187.85777707863738
12,0.487,2722.0895294259085,174.82969777845048
13,0.507,2854.017828853114,155.5209077182125
14,0.545,2996.923715169964,121.74437571254784
15,0.57,3027.687512470143,103.65554967582972
16,0.592,3026.382921098344,88.1957727677655
17,0.626,2990.0898187814755,70.98111793711729
18,0.766,2787.3454003763195,81.05709468998596
19,0.855,2798.6963700931988,105.55163066246384
20,0.882,2833.3872378955443,111.62065817300274
21,0.947,2944.872129706569,120.53651568588343
22,1.047,3000.3134912807377,77.8908964055759
23,1.093,2929.421737909801,59.06180896319859
24,1.218,2718.4107483011453,76.08004941038539
25,1.266,2699.9891263543113,93.85521157448889
26,1.291,2711.3512483629606,101.3039764014304
27,1.316,2736.8791382324844,107.91983649400215
28,1.341,2773.7958718902723,113.31917153779061
29,1.412,2915.253986874634,122.99351393662589
30,1.474,3045.922599821155,105.78160250154751
31,1.545,2996.8973303082257,67.62511177661439
32,1.579,2929.5760187241876,63.739741619553016
33,1.596,2909.79149766546,68.99395279122555
34,1.618,2888.0707698954548,75.59613929235883
35,1.636,2867.9798766719546,83.64882125435064
36,1.673,2857.339613991091,94.93541037777649
37,1.963,3208.749422044938,124.1589929475593
38,1.985,3235.8402241022995,120.49409465448949
39,2.027,3251.87129895267,90.73097162368863
40,2.051,3222.8109364376846,75.79906756719281
41,2.075,3174.044923570092,63.22728109465266
42,2.103,3096.041440842037,50.59245611430451
43,2.142,2977.0624541008065,45.352769999320024
44,2.172,2896.827563317129,64.27925163483516
45,2.224,2834.2604217024423,87.00801912508076
46,2.242,2829.909322969451,93.67145805953587
47,2.263,2835.963095821833,100.19409997226776
48,2.283,2851.967946948676,105.65425583052455
49,2.302,2874.6105519222897,109.97065799261337
50,2.323,2907.1426202848556,113.97882167628048
51,2.354,2961.2187737980103,118.23221469192919
52,2.412,3034.962163087295,93.9291688890235
53,2.447,3000.7229271759934,72.82138509727214
54,2.478,2942.022646020622,70.24268810418953
55,2.517,2900.8894727501993,84.52590415943223
56,2.546,2890.462890871435,93.67371915175531
57,2.573,2896.484788067105,100.95122268443095
58,2.592,2909.822484928657,105.53303436392407
59,2.63,2959.3502664446555,113.26854252726923
60,2.661,3013.5179871947194,110.96179724736913
61,2.693,3018.8346237098485,86.31432385749923
62,2.733,2948.418088206607,62.041455186882345
