delay_mean,loss_mean,control_interval,sla(90%),sla(91%),sla(92%),sla(93%),sla(94%),sla(95%),sla(96%),sla(97%),sla(98%),sla(99%),avg_precision
0.0,0.05,10,99.74072998190317,99.73369154007291,99.72942823524544,99.71919982527086,99.70583752561994,99.68423491293328,99.66234785274622,99.62099112355025,99.43046073033192,98.94405505279781,99.79
0.0,0.15,10,99.61921722122493,99.6121591162016,99.59614774993207,99.58090768164506,99.56410162700486,99.54741721153815,99.5174400676816,99.43143569076634,98.96821234083963,98.47538505364157,99.75
0.0,0.1,10,99.67064855058624,99.6576986909245,99.64870754779089,99.63563387444997,99.62593752100884,99.59342186779338,99.57584081116156,99.54883621971415,99.38495839619723,98.78129158799878,99.77
0.0,0.25,10,99.36011658290853,99.33015464350409,99.28572478680172,99.2605873121216,99.23079495133837,99.19475600324188,99.14899856997762,99.05314566305286,98.94052532486553,98.73645289464804,99.68
0.0,0.2,10,99.45756514585253,99.41883707004652,99.38162075310609,99.3653041543184,99.3288176155412,99.28379675745501,99.20775788850344,99.09666773366388,98.98232902477372,98.84858370885564,99.69
0.0,0.35,10,99.34970768019667,99.33084628347686,99.30055352737469,99.24155057939278,99.17695118741482,99.0818182662855,99.00407960594427,98.9422500493105,98.74171069324495,98.03714498341917,99.64
0.0,0.3,10,99.31942867004568,99.28171974243052,99.25453574201096,99.19095328683106,99.1283144835117,99.08460860939277,98.97140076563639,98.75517978306426,98.6492909149945,98.5291897447853,99.65
0.0,0.45,10,99.14112837103923,99.120913845765,99.10108813227258,99.08540173250093,99.01811447522668,98.93829836487724,98.84310598235777,98.75242833600534,98.66821667512788,98.54491969893792,99.57
0.0,0.4,10,99.31800986626602,99.29782153662343,99.27953358093022,99.25072055528778,99.22359230182397,99.19975991222422,99.16144193924306,99.09487262065298,98.93731634901545,98.81118629830229,99.66
0.0,0.5,10,98.94523857172888,98.91457207275148,98.81247806713512,98.68806171069826,98.61935250198627,98.5267175544714,98.40201536528878,98.23268271207263,97.96001573972637,97.70936165040186,99.52
10.0,0.05,10,99.49727158673218,99.48893253642144,99.4768876637532,99.46229921337664,99.44152278966097,99.42260190425547,99.38661237222883,99.30906173027694,99.06216534195315,98.96317989963569,99.65
10.0,0.15,10,99.32673215269847,99.30469166031438,99.28069739149005,99.24362995153048,99.18616369078623,99.14732467703278,99.12766732640785,99.07468866382224,98.95223669439633,98.87693316177312,99.6
10.0,0.1,10,99.42209533125865,99.40662829919741,99.3927768221539,99.37057839702835,99.35207189087183,99.32901691725763,99.24940217865544,99.19966673173147,99.08931137816369,98.95875318394533,99.64
10.0,0.25,10,99.21321238955977,99.18065516827134,99.16601231770827,99.13820675430672,99.11902741976213,99.0924774983363,99.07427241652924,99.01433851894934,98.93308891500682,98.59695644946476,99.56
10.0,0.2,10,99.14513222687928,99.07203138538918,99.02530541269773,98.98786241702453,98.92166173175788,98.86736846079587,98.82605115916375,98.67093387832959,98.49677880697442,97.60984318352824,99.52
10.0,0.35,10,98.90622443094234,98.86085536764436,98.79708630693713,98.74826272055881,98.65176619930625,98.59485161616162,98.5385947417996,98.44342996465387,98.33632963886974,98.11005882330915,99.43
10.0,0.3,10,99.33362520426881,99.31207279993242,99.2799216369591,99.25870194074443,99.19015069232773,99.15746786927524,99.09565519707678,98.96132338376324,98.87410443127627,98.74961289704217,99.61
10.0,0.45,10,98.73426135014898,98.67119896993998,98.62731804160549,98.52251550556112,98.39183094653012,98.33321689810367,98.1862637762575,98.06458545890703,97.88256588434757,97.75231553898557,99.39
10.0,0.4,10,98.94341679135307,98.91429676334187,98.85802652254792,98.77332974413231,98.66242764340312,98.53070389483166,98.40174836472403,98.27848643955065,98.12073045983855,97.6802825751676,99.48
10.0,0.5,10,98.32227756976397,98.28517970827873,98.17924910485324,98.10006527634229,97.98209332330897,97.87551945146642,97.79309383133922,97.68621929333715,97.50289880855578,97.36398401004988,99.24
100.0,0.05,10,90.07135552241942,89.83500487233482,89.60929085192569,89.15958348964134,88.86836436821083,88.65451498786183,88.15073792575609,87.6173762161471,87.3089456114895,87.1059106211978,95.34
100.0,0.15,10,92.46022118165699,92.35626005530334,92.08903670085404,91.94730071851009,91.68387125025318,91.23093074913122,90.92387243672891,88.27641809901972,86.3678966298314,85.68803098977972,95.94
100.0,0.1,10,92.89191392890129,92.64236101672192,92.485971165548,92.34189164438503,92.14012455538679,91.91238266776733,91.44125264925844,90.98435956382717,90.74961506174822,90.54712465238431,96.43
100.0,0.25,10,92.13227440575066,91.84339463208526,91.59118828823168,91.24554726358969,90.93812853666903,90.75506225320048,90.46171860844156,90.07752491509864,89.88904941014428,89.11402492579856,95.91
100.0,0.2,10,91.8197010197668,91.42962037138062,91.20148650306768,90.52123836339541,89.6523296272994,89.08839922979247,88.61004791643819,88.28891292271811,86.95314528679063,86.07606890854885,95.93
100.0,0.35,10,91.22099618333529,90.65797066943365,89.90301065661129,89.35822198555262,88.8448985201741,88.35499277964242,88.05194120268786,87.85540835461235,87.45508853293123,86.6840819784124,95.4
100.0,0.3,10,92.53285374714176,92.4526413033388,92.12724984260613,91.87341057363885,91.73651706974553,91.50673287555574,91.29548551896345,90.91183075810693,90.63466563817022,90.35382250152153,96.13
100.0,0.45,10,91.45768414666283,91.21534459686674,91.02189035022133,90.8672077128071,90.70141508938741,90.55742570228952,90.17135534658574,89.04544345001432,86.05396137153943,84.30426828537611,95.43
100.0,0.4,10,89.96631742710487,89.7671872354124,89.6650188923496,89.258563555589,88.96849245070209,88.805809434742,88.51505459238611,86.03072390371253,82.76682163149808,80.92489566287122,94.98
100.0,0.5,10,92.13591484589013,91.98346992430756,91.8581356210031,91.77256020364581,91.67051579561829,91.40436872005594,91.23649982133966,91.06879797275833,90.80772031497207,90.53388662021442,96.08
15.0,0.05,10,99.20593847508334,99.18607139872519,99.15126085428423,99.12048875099494,99.09558380066669,99.0628649591395,99.029466401079,98.98675283488004,98.82971142504685,98.61450091600116,99.51
15.0,0.15,10,99.19050393242985,99.17435930617884,99.11757935738767,99.08447462227588,99.04765875340915,98.97472443990662,98.87492327488243,98.79057964488017,98.67830227785507,98.54506731288885,99.49
15.0,0.1,10,99.21440479514597,99.18586748218324,99.15595047007938,99.12768719092072,99.0863882947874,99.03354064749928,98.96504843303543,98.91936639528645,98.70847062765719,98.31540145689578,99.51
15.0,0.25,10,98.87028116957997,98.84132571486491,98.80518628154726,98.767447931697,98.71983081368208,98.66840684063497,98.63362113788855,98.56463656149684,98.51296375208646,98.22222722306796,99.45
15.0,0.2,10,99.12066501321435,99.09792251416278,99.05510560039231,99.01978634328083,98.99106397037318,98.94642268349918,98.72394500780133,98.5885210444199,98.41410047819186,98.22383629758485,99.46
15.0,0.35,10,98.87345588645277,98.82528765798192,98.78383922689717,98.71734055880691,98.66224892599614,98.53450194868856,98.34102594411829,98.1603624921978,98.050177902282,97.96792498288848,99.4
15.0,0.3,10,98.98592053637998,98.96771752460974,98.91747288392231,98.88656739868811,98.84618191480433,98.73950855154102,98.6640316300647,98.57288277376969,98.4824639034339,97.98968721414788,99.43
15.0,0.45,10,98.53426643510066,98.50340495584437,98.46788280797742,98.31739607821038,98.18558623135215,98.10168141769658,98.04398015834153,97.83307741972114,97.59609801108631,97.45107200298676,99.22
15.0,0.4,10,98.76652865070275,98.72597485812199,98.6714460316086,98.63519177718472,98.5956404052745,98.52267707487358,98.38954674953898,98.26154198653455,98.1765803601512,98.02028125936711,99.37
15.0,0.5,10,98.52741248226707,98.45430996637178,98.36718170902046,98.31072863895888,98.26037024478856,98.14932363301716,97.90695651819124,97.75218095357386,96.8974768047298,96.23016802016525,99.25
20.0,0.05,10,99.15884600717007,99.13985720971243,99.11477991910047,99.09191228528796,99.06868981840407,99.0385189536428,98.99691143079555,98.9479606761311,98.83461401748458,98.77491054050724,99.48
20.0,0.15,10,98.81636660203972,98.78117739941754,98.76577588720343,98.75073302154655,98.71787686276247,98.68338825871747,98.64596955977083,98.5925657076128,98.55909088504946,98.52019430696488,99.33
