delay_mean,loss_mean,control_interval,sla(90%),sla(91%),sla(92%),sla(93%),sla(94%),sla(95%),sla(96%),sla(97%),sla(98%),sla(99%),avg_precision
0,0.05,5,99.74913230390415,99.7463896094993,99.74329375923642,99.74033608446545,99.73688440959613,99.73276436342493,99.7270518135132,99.71793193663673,99.70360012383908,99.67768032993946,99.81
0,0.1,5,99.73193513564243,99.72825764463816,99.72452684179332,99.71970444462933,99.7133268348027,99.705401306848,99.69641984139896,99.68511553645165,99.66997339911538,99.64546043131273,99.81
0,0.15,5,99.7261405713587,99.72134984581571,99.71615862900983,99.71031919009295,99.70385149370425,99.69506317848821,99.68509600863,99.67060772985504,99.6522668682623,99.60320455430139,99.81
0,0.2,5,99.71163246167846,99.70575340040546,99.69891118485069,99.69126088687938,99.68220106885198,99.67067069584411,99.65720407135163,99.63925476340651,99.61037155767526,99.5698689875925,99.8
0,0.25,5,99.67486450077438,99.66736971681647,99.65778133811743,99.64771282367079,99.6339133717849,99.6172997926736,99.5954616508179,99.56882865303899,99.53588099620147,99.44032120927332,99.79
0,0.3,5,99.65792688364624,99.64935982368434,99.63830255943901,99.62669977227797,99.6119112172219,99.59216713266973,99.56920123212694,99.54525911114816,99.50265277036529,99.40339485298334,99.78
0,0.35,5,99.63324845637011,99.62226326188534,99.60846097180591,99.59254506781849,99.57463852770051,99.55471463197715,99.52457362411569,99.47837710686758,99.42466846685531,99.30301833394873,99.77
0,0.4,5,99.59496644446575,99.57928576148382,99.56328373022502,99.54455028043161,99.52058718949634,99.49329209477428,99.4548714487346,99.41228823095922,99.31114638568638,99.15554130592915,99.76
0,0.45,5,99.53545470272954,99.5184160831556,99.50000092051813,99.4781256974011,99.44908118821334,99.42383622483476,99.38767403100739,99.3305502747279,99.26003935977667,99.12956572040724,99.73
0,0.5,5,99.46776990918896,99.44575966880167,99.42681195770376,99.40432094867704,99.37332525779559,99.34009210816915,99.30180653183758,99.25487165707005,99.17549208615971,99.02846248928977,99.7
5,0.05,5,99.66346554261159,99.65724786195226,99.65033042734326,99.6438610702844,99.63565421239029,99.62593293540448,99.61447957184697,99.59891255049828,99.57647486466851,99.54170917835812,99.76
5,0.1,5,99.64834312456772,99.64310233990093,99.6374031671858,99.62978157821924,99.62047122363246,99.6087573097488,99.59341267724876,99.57463182947656,99.55015790199448,99.4997629561201,99.75
5,0.15,5,99.64417638952627,99.63755362574265,99.63012896247285,99.62161868110317,99.6114364777874,99.59988621707392,99.58548422014105,99.5664688411387,99.54121642299535,99.48882353266214,99.75
5,0.2,5,99.60970270465123,99.602211342327,99.59421374542886,99.58557599810203,99.575277147722,99.56337546174993,99.54842078480391,99.5274317003712,99.50521537709635,99.45567107992841,99.73
5,0.25,5,99.59444324197439,99.58603852132381,99.57642796297552,99.56554388070653,99.55235188759737,99.53778354357061,99.51541670624398,99.48678950717661,99.4534107712924,99.38496401955594,99.72
5,0.3,5,99.55848784519475,99.54744850423262,99.53709462638793,99.52243983247696,99.50405969648514,99.4829139147602,99.45689703627983,99.4202485384505,99.36030217465506,99.22749010927393,99.7
5,0.35,5,99.53492382092898,99.52295174799865,99.51013630357345,99.49644718688671,99.4808362097396,99.46211204204764,99.43856844845436,99.40343071881894,99.3529256877791,99.22705839198802,99.69
5,0.4,5,99.46384782455516,99.44852365814445,99.43249439293196,99.4117351429711,99.38848701011337,99.3596187830427,99.32734947880151,99.28621412647742,99.2254332870286,99.11808758548774,99.67
5,0.45,5,99.43288456513505,99.41673707329056,99.39882157975734,99.37922163614384,99.35619601658082,99.32617017340554,99.28677324720805,99.22097397036073,99.1234682205647,98.97381597965531,99.65
5,0.5,5,99.39027328955383,99.37330251273565,99.35183475168823,99.32970199062301,99.30263067982646,99.27029525458101,99.22316050954288,99.16568152100902,99.09239169408784,98.92909566055381,99.63
10,0.05,5,99.48222321567862,99.47294298736114,99.46241710933676,99.45078821706416,99.4337551839654,99.41267342038188,99.38713595565741,99.35706930007831,99.31611154659117,99.24068376964725,99.65
10,0.1,5,99.46768223556836,99.45778398082354,99.44690840212283,99.43146843826237,99.41542000730774,99.39445588817902,99.37307782262927,99.34492922759132,99.30308864550477,99.22382109728106,99.64
10,0.15,5,99.46361937912626,99.45311157245135,99.44102036909585,99.42765928184964,99.4130730082863,99.39628950182811,99.37718624887391,99.3457375893478,99.30544613544387,99.25047358183258,99.64
10,0.2,5,99.44159793683966,99.4301321379074,99.4163824681757,99.40194761342941,99.38305030028525,99.36028595546982,99.33275900318685,99.29668653893809,99.22999288417626,99.12871007103004,99.63
10,0.25,5,99.42165220369478,99.4098260488552,99.39558349321143,99.37819331367407,99.35739688280952,99.33786544246557,99.3123578773862,99.28136309352175,99.23590505346009,99.11673587880918,99.62
10,0.3,5,99.39130287656735,99.37836293236573,99.36303325985808,99.34476169890338,99.32498832479291,99.30492517668631,99.2748796567449,99.2360643917572,99.18131011078937,99.10797953500573,99.61
10,0.35,5,99.37518763740395,99.36139562430478,99.34744872770155,99.32960437822094,99.3094184699695,99.28496345121319,99.25360104276946,99.2124867662568,99.1571629355511,99.03635711965951,99.6
10,0.4,5,99.30629999658046,99.28191942158345,99.25709301291052,99.23062582419817,99.20214333709244,99.1704678120376,99.1286899586498,99.0721312981474,98.98254449520445,98.82660694640393,99.57
10,0.45,5,99.2866939846346,99.26823105115363,99.24373190501258,99.21600634779246,99.18544235055445,99.15016288314517,99.1013536284623,99.04155473948842,98.9361121136158,98.75009702126071,99.56
10,0.5,5,99.23262203787878,99.20952179586078,99.18277763460483,99.14285340513356,99.10085462795394,99.05987615242717,99.00521759639835,98.9287786750154,98.84248886549432,98.66171372204528,99.54
15,0.05,5,99.2760982053312,99.2612773745679,99.2450031523089,99.22511671771625,99.20379855671928,99.17488063233402,99.13966911944414,99.08990957430723,99.01172003987107,98.88864806297012,99.54
