,time,speed,i
0,0.006,0.00016911214552138166,-0.5522360507140481
1,0.047,0.07573215679590733,1.8176019417957938
2,0.122,37.216080743231714,63.83737014954938
3,0.14,74.9994563773882,80.37445280428253
4,0.179,212.7121747080825,112.65811599608162
5,0.207,366.60338729712765,133.5484664507431
6,0.235,579.3517016470412,152.86948321376042
7,0.274,949.0257666694698,173.9184094445138
8,0.302,1321.2349279243563,186.04797160907015
9,0.332,1731.5734739982545,192.38092302621044
10,0.379,2312.7395925832566,191.37338078440243
11,0.412,2724.8716226962106,184.10110826031482
12,0.445,3058.727302567934,163.03327126421934
13,0.485,3229.6812723678545,118.85693944204903
14,0.506,3247.6271568590646,99.63677159773215
15,0.526,3232.9406522890968,83.7200694349024
16,0.547,3197.3179405869823,70.68282815252955
17,0.567,3151.3899520341834,60.49150498970205
18,0.589,3089.8785492275974,50.89291173221701
19,0.619,2999.6649040842717,53.11378060883693
20,0.659,2920.0547698736596,72.9236509813819
21,0.698,2883.6181356879983,87.71662219495865
22,0.717,2878.8987847446783,94.40284705142707
23,0.738,2884.1568575814126,100.37408796191538
24,0.759,2899.553120314295,105.73913453604095
25,0.777,2920.2279654890876,109.72639360294879
26,0.796,2948.7336808361765,113.33277259428915
27,0.817,2986.4519055258475,111.32262299546154
28,0.841,2998.862982284798,94.03884093005243
29,0.872,2988.582521272031,82.74848895936536
30,0.904,2947.616767944743,75.01910440015398
31,0.937,2915.698392628852,88.01489444565922
32,0.991,2924.403569127314,104.1882108555998
33,1.187,3188.1787236549153,122.6390032109608
34,1.219,3258.290823080198,116.23350368018232
35,1.282,3219.544546389827,70.63316727954724
36,1.324,3108.523881845996,50.466008361981224
37,1.367,2961.936734786563,44.911225522321125
38,1.409,2862.2845404521117,69.4362390876783
39,1.449,2820.797456890465,85.98952456896895
40,1.482,2817.7369435861083,97.46903587099457
41,1.51,2837.1928665265814,105.44489584376379
42,1.54,2875.742744881161,112.04142263359768
43,1.575,2936.178743281495,117.57105501866825
44,1.613,3020.8534979065603,115.13117058822694
45,1.655,3028.324254069704,83.21800609640471
46,1.695,2952.408604857878,60.17627348032868
47,1.724,2891.5016782255743,61.58228990123107
48,1.788,2822.1798160195767,85.36246679660945
49,1.816,2816.3991793350883,95.21530207848934
50,1.838,2824.8197532748077,101.36818336991608
51,1.92,2909.184537810885,115.45686313183423
52,1.953,2980.101838780803,120.08114169289813
53,1.982,3045.3464449010794,117.00738880005032
54,2.026,3056.8804339489534,84.45203116036126
55,2.047,3030.477784914234,72.85478762216422
56,2.067,2995.107550409844,72.34198380550751
57,2.096,2959.968398129574,83.7997842285385
58,2.128,2945.54457806861,93.82455301924458
59,2.169,2955.512514022317,103.33497300789263
60,2.185,2968.223918299237,106.82893742091673
61,2.212,2993.5003304288316,104.43209576283203
62,2.234,2996.8265998520374,91.1469498104734
63,2.284,2946.3446974641674,77.98007561512789
64,2.343,2905.484972537119,93.80575729432573
65,2.379,2918.68544438239,103.94402612187831
66,2.425,2969.7892876425317,112.82222012137474
67,2.456,3024.3213094776784,111.34665557953966
68,2.47,3035.3098290719827,100.04911221929314
69,2.496,3024.464667129054,82.68121298028039
70,2.517,3000.6715525773025,77.84861517834202
71,2.531,2981.939552002874,79.94216391747567
72,2.546,2967.3118521309284,85.74389873282438
73,2.574,2956.5548458944913,94.2349848134939
74,2.617,2975.6497331442306,106.0785599254247
75,2.66,3032.8386614640353,114.11309130126206
76,2.735,3165.182293330113,110.83070853843279
77,2.755,3171.90407134764,94.97996585109308
78,2.794,3129.1575568670387,71.7304709550641
79,2.833,3044.3127422238726,54.39682231657166
80,2.853,2991.6467344459957,52.73972325239334
81,2.88,2926.896742531994,68.3761676611342
82,2.915,2881.0164552928773,84.13680965104172
83,2.951,2871.1661221739646,96.17149695104104
84,2.978,2885.6263099868675,104.12864164401746
85,3.016,2924.3551579397085,111.43883782997227
86,3.038,2958.7577378308383,115.05705230142314
87,3.067,3006.398541270961,107.69181432633367
88,3.1,3007.851914532694,86.47794071138318
89,3.166,2894.4843234555206,54.326902830965764
90,3.208,2778.3649268170543,50.71634117524126
91,3.302,2678.7153379054607,89.42606826724274
92,3.326,2684.2918287703983,98.10464306041806
93,3.354,2710.20997382872,106.56948154008096
94,3.381,2755.014070503144,113.47672263029555
95,3.409,2814.5101368033093,118.80089785881763
96,3.438,2891.3036909766106,122.99007673966615
97,3.454,2932.126772319516,118.35730060536474
98,3.47,2955.5830791023022,104.91214336364189
99,3.486,2960.2811044934006,93.25253541783158
100,3.502,2952.1975682284174,88.7793281331407
101,3.52,2947.1258948357213,94.49032810896009
102,3.543,2951.26368477057,100.63825759888866
103,3.559,2960.8313753267266,104.51447197715724
104,3.573,2973.4449182331887,107.56153773695428
105,3.6,2998.613748535132,100.6552527749483
106,3.618,2997.136333865923,89.34213118648925
107,3.651,2976.4910328899455,91.56832091951725
108,3.703,2987.690759248121,104.68340079746486
109,3.728,3013.0857929273016,109.87336035953042
110,3.755,3047.8384872201027,106.6528637294846
111,3.772,3052.750875293805,95.02065022801162
112,3.794,3045.672009235851,85.7115561634847
113,3.812,3029.8547574417644,77.2551615433569
114,3.856,2958.208867082298,72.66318875427699
115,3.892,2919.0733974980585,87.415279868951
116,3.921,2913.6733778807297,97.19728837818562
117,3.955,2934.072614615806,106.16109342139356
118,3.988,2975.1753812231896,112.61345752436465
119,4.01,3010.418513233511,109.49086104871108
120,4.043,3013.4808031069538,86.05566109971141
121,4.064,2986.17784272191,72.99471836909282
122,4.087,2939.8701040572732,68.70270936539877
123,4.109,2906.5720975210525,78.96176183459418
124,4.143,2883.656319089585,92.76071953097474
125,4.178,2895.7244188817563,103.41183984197805
126,4.209,2929.7984209415163,110.50678798532046
127,4.258,3011.565593866385,117.9114982887165
128,4.279,3048.9577853194314,111.00731111141019
129,4.318,3049.3016059571046,83.84136935231152
