,speed
0,0.0
1,45.656546029639955
2,404.13593100891586
3,750.9926695775544
4,1698.7728813898461
5,1698.7728813898461
6,1698.7728813898461
7,1698.7728813898461
8,1698.7728813898461
9,1698.7728813898461
10,1698.7728813898461
11,2434.9507917900683
12,5081.056256913645
13,5613.3170026840835
14,5886.289237043259
15,5908.173199738643
16,5908.173199738643
17,5908.173199738643
18,5908.173199738643
19,5908.173199738643
20,5908.173199738643
21,5908.173199738643
22,5908.173199738643
23,5881.515802326356
24,5602.884065178105
25,5313.182560652888
26,5133.962488037456
27,5133.962488037456
28,5133.962488037456
29,5133.962488037456
30,5133.962488037456
31,5133.962488037456
32,5133.962488037456
33,5133.962488037456
34,4942.691382746195
35,4628.631646813732
36,4236.832283770406
37,4236.832283770406
38,4236.832283770406
39,4236.832283770406
40,4236.832283770406
41,4236.832283770406
42,4236.832283770406
43,4236.832283770406
44,4137.20560010215
45,3928.2675387177046
46,4091.5685295153326
47,4091.5685295153326
48,4091.5685295153326
49,4091.5685295153326
50,4091.5685295153326
51,4091.5685295153326
52,4091.5685295153326
53,4127.393942358013
54,4236.742104955308
55,4242.858775377732
56,3984.2849999570763
57,3945.171294192559
58,3945.171294192559
59,3945.171294192559
60,3945.171294192559
61,3945.171294192559
62,3945.171294192559
63,3945.171294192559
64,3911.082411328781
65,3997.4721547917115
66,4591.720435992485
67,4591.720435992485
68,4591.720435992485
69,4591.720435992485
70,4591.720435992485
71,4591.720435992485
72,4591.720435992485
73,4591.720435992485
74,4596.040707226848
75,4610.143439526616
76,4604.248470457419
77,4389.731846239484
78,4112.319203651871
79,4112.319203651871
80,4112.319203651871
81,4112.319203651871
82,4112.319203651871
83,4112.319203651871
84,4112.319203651871
85,4060.3742362322137
86,3910.943385531381
87,4504.705209834189
88,4504.705209834189
89,4504.705209834189
90,4504.705209834189
91,4504.705209834189
92,4504.705209834189
93,4504.705209834189
94,4504.705209834189
95,4504.705209834189
96,4741.152639489449
97,4465.5936417905505
98,4385.961922186049
99,4385.961922186049
100,4385.961922186049
101,4385.961922186049
102,4385.961922186049
103,4385.961922186049
104,4385.961922186049
105,4384.464126698895
106,4298.98353241274
107,4216.928860407652
108,4150.262410749517
109,4164.738127188342
110,4021.0737547620024
111,4021.0737547620024
112,4021.0737547620024
113,4021.0737547620024
114,4021.0737547620024
115,4021.0737547620024
116,4021.0737547620024
117,4013.9028190500235
118,3956.0527580510384
119,4111.518177640197
120,4533.343264419783
121,4533.343264419783
122,4533.343264419783
123,4533.343264419783
124,4533.343264419783
125,4533.343264419783
126,4533.343264419783
127,4533.343264419783
128,4533.628031291373
129,4488.27236242487
130,3976.934493127866
131,3976.934493127866
132,3976.934493127866
133,3976.934493127866
134,3976.934493127866
135,3976.934493127866
136,3976.934493127866
137,3976.934493127866
138,3912.482198789704
139,3868.151658758677
140,4707.294020311906
141,4707.294020311906
142,4707.294020311906
143,4707.294020311906
144,4707.294020311906
145,4707.294020311906
146,4707.294020311906
147,4707.294020311906
148,4707.294020311906
149,4844.435090443145
150,4948.393641668169
151,4958.541266718059
152,4911.9031489380895
153,4852.620406788161
154,4789.812732512615
155,4674.765446847493
156,4582.68011702507
157,4582.68011702507
158,4582.68011702507
159,4582.68011702507
160,4582.68011702507
161,4582.68011702507
162,4582.68011702507
163,4582.68011702507
164,4549.278730065032
165,4097.467308624401
166,3854.5049044960306
167,3854.5049044960306
168,3854.5049044960306
169,3854.5049044960306
170,3854.5049044960306
171,3854.5049044960306
172,3854.5049044960306
173,3852.208035185236
174,3858.728708392623
175,3990.7236663940316
176,4207.8550841068845
177,4253.832135712972
178,4219.396744439839
179,4219.396744439839
180,4219.396744439839
181,4219.396744439839
182,4219.396744439839
183,4219.396744439839
184,4219.396744439839
185,4219.396744439839
186,4192.426639927331
187,4034.6042639853986
188,3971.745519941161
189,4004.8684140788896
190,4067.8541479054993
191,4067.8541479054993
192,4067.8541479054993
193,4067.8541479054993
194,4067.8541479054993
195,4067.8541479054993
196,4067.8541479054993
197,4047.840763524893
198,3936.974610969857
199,3825.3342329909083
200,3865.496356608356
201,4044.2854185338647
202,4044.2854185338647
203,4044.2854185338647
204,4044.2854185338647
205,4044.2854185338647
206,4044.2854185338647
207,4044.2854185338647
208,4073.059484207327
209,4202.3975496440335
210,4173.7780238161
211,4108.4614930266625
212,4028.035543942688
213,4055.5632417913066
214,4055.5632417913066
215,4055.5632417913066
216,4055.5632417913066
217,4055.5632417913066
218,4055.5632417913066
219,4055.5632417913066
220,4055.5632417913066
221,4055.5632417913066
222,4055.5632417913066
223,3977.7720592262995
224,3927.881125554505
225,4084.2268992121676
226,4084.2268992121676
227,4084.2268992121676
228,4084.2268992121676
229,4084.2268992121676
230,4084.2268992121676
231,4197.1329674688905
232,4187.1198769534285
233,4097.856073954254
234,4010.522909690273
235,4029.5780406787153
236,4029.5780406787153
237,4029.5780406787153
238,4029.5780406787153
239,4029.5780406787153
240,4029.5780406787153
241,4041.101182776406
242,4037.138652743086
243,3994.310601939803
244,3962.7754428178546
245,4003.5249277620937
246,4042.87060458995
247,4052.765242916705
248,4043.2372362475153
249,4043.2372362475153
250,4043.2372362475153
251,4043.2372362475153
252,4043.2372362475153
253,4043.2372362475153
254,4037.889400004197
255,3992.940185510529
256,3968.1788188233304
257,4360.2918329687645
258,4575.332651182253
259,4619.510142733569
260,4619.510142733569
261,4619.510142733569
262,4619.510142733569
263,4619.510142733569
264,4619.510142733569
265,4619.510142733569
266,4619.510142733569
267,4621.116858788968
268,4475.9231578901245
269,4197.147325118706
270,4197.147325118706
271,4197.147325118706
272,4197.147325118706
273,4197.147325118706
274,4197.147325118706
275,4197.147325118706
276,4197.147325118706
277,4119.740028485528
278,4043.981653023463
279,3999.2719623171365
280,3976.6320875903525
281,4077.3150076689535
282,4274.409151414446
283,4274.409151414446
284,4274.409151414446
285,4274.409151414446
286,4274.409151414446
287,4274.409151414446
288,4274.409151414446
289,4274.409151414446
290,4274.409151414446
291,4272.84728548098
292,4175.078173385498
293,4081.4797703943705
294,3995.947051991146
295,4008.1196634483053
296,4103.5166388527405
297,4103.5166388527405
298,4103.5166388527405
299,4103.5166388527405
300,4103.5166388527405
301,4103.5166388527405
302,4103.5166388527405
303,4103.5166388527405
304,4146.023763943021
305,4113.719753310001
306,4030.761089465943
307,3851.4088104355283
308,3849.5607930208093
309,3849.5607930208093
310,3849.5607930208093
311,3849.5607930208093
