,time,speed
0,0.011,0.08983960641174905
1,0.06,11.303000809786651
2,0.09,34.410695560051686
3,0.117,155.89544139280537
4,0.14,403.0035482583292
5,0.148,516.3363744567749
6,0.161,753.4394227759201
7,0.189,1465.8253325708372
8,0.212,2214.1826505733384
9,0.229,2810.7252572530047
10,0.245,3338.044667903352
11,0.283,4099.9366722868435
12,0.3,4273.533299191179
13,0.32,4421.445760610325
14,0.342,4621.895167593922
15,0.377,5007.153205486741
16,0.389,5128.9336831748105
17,0.404,5207.413351572848
18,0.425,5276.766821193954
19,0.45,5392.6750470775805
20,0.475,5552.409093296607
21,0.485,5614.757704611205
22,0.508,5668.001063290258
23,0.515,5664.53521503035
24,0.526,5644.212883407659
25,0.537,5622.81120043197
26,0.547,5613.394781385117
27,0.563,5616.757028020754
28,0.576,5637.1182415468575
29,0.608,5737.285806587312
30,0.636,5805.9313423386475
31,0.654,5779.861265853891
32,0.666,5748.566876492829
33,0.694,5729.234454186605
34,0.727,5789.53417621062
35,0.756,5898.0705385363335
36,0.765,5932.630570617971
37,0.788,5937.449573187151
38,0.809,5876.809772990839
39,0.825,5814.737197950238
40,0.855,5759.444770859964
41,0.884,5782.570073204101
42,0.893,5801.235642269262
43,0.91,5854.573027345449
44,0.914,5866.2440007583045
45,0.923,5884.618115070548
46,0.926,5886.734001825526
47,0.995,5655.49094635395
48,1.03,5498.960641500133
49,1.041,5473.440814029067
50,1.061,5457.389184621804
51,1.105,5545.754789823819
52,1.134,5679.485902744856
53,1.145,5723.909117087046
54,1.152,5735.584529218149
55,1.185,5691.365842050588
56,1.211,5614.0002079303395
57,1.253,5620.883919791131
58,1.3,5781.796343616932
59,1.375,6029.7133831559495
60,1.412,5892.744168152943
61,1.428,5815.33586854392
62,1.441,5761.157048392056
63,1.462,5715.216819364828
64,1.51,5751.925585324105
65,1.557,5929.715995078891
66,1.587,6014.158085029735
67,1.622,5923.3378669758595
68,1.642,5834.071437604475
69,1.653,5797.456368390533
70,1.677,5755.440713412792
71,1.687,5753.27193914174
72,1.711,5782.493317046672
73,1.72,5803.06707155063
74,1.792,6096.570335952173
75,1.828,6209.243318535476
76,1.839,6195.870471566755
77,1.882,6027.200176129588
78,1.906,5910.123364832479
79,1.967,5845.293932046968
80,1.998,5921.332147144621
81,2.031,6015.1699424584785
82,2.058,5971.8616164947
83,2.066,5943.852024198565
84,2.087,5898.668495889897
85,2.159,5988.286372178591
86,2.191,5999.14579710993
87,2.212,5932.298947329246
88,2.251,5790.48111216648
89,2.273,5765.909601851438
90,2.324,5855.155604214842
91,2.36,5940.737438493016
92,2.378,5911.25157647648
93,2.426,5855.2253541901655
94,2.494,6041.658487247947
95,2.868,4618.978386270811
96,2.873,4594.357525395508
97,2.877,4573.801277433727
98,2.891,4510.933953802765
99,2.902,4470.230248460448
100,2.913,4441.394025687192
101,2.922,4427.768851615977
102,2.942,4430.394175135668
103,2.973,4523.423805705199
104,2.978,4545.49260498308
105,2.993,4633.9369596936085
106,3.013,4772.854382834777
107,3.017,4806.449899397848
108,3.027,4886.847369033244
109,3.034,4955.089993739249
110,3.046,5057.241094288757
111,3.065,5245.140078825465
112,3.079,5356.7759255706915
113,3.115,5433.495712455703
114,3.152,5410.686959920323
115,3.166,5430.388785122139
116,3.202,5546.075466833108
