,time,speed
0,0.014,0.20928493522141992
1,0.112,64.80500062164751
2,0.126,69.00972913328594
3,0.137,82.28157874295694
4,0.145,98.56648223915418
5,0.166,197.52266080544666
6,0.192,452.07200269551623
7,0.208,691.7256216310896
8,0.215,826.2638682048223
9,0.246,1595.9644920563194
10,0.248,1650.1185428609974
11,0.258,1948.741732035936
12,0.303,3534.2161282048482
13,0.316,3925.8209250039067
14,0.326,4203.9627310270525
15,0.334,4429.421063569086
16,0.339,4556.17712741315
17,0.35,4837.240708085601
18,0.374,5231.940520149704
19,0.385,5338.091872647297
20,0.398,5429.737901088904
21,0.416,5566.664951033753
22,0.429,5660.304709288002
23,0.444,5713.966172591206
24,0.465,5731.055369061608
25,0.484,5765.539752260455
26,0.504,5827.356002449909
27,0.523,5871.7558873666185
28,0.549,5835.770734419708
29,0.558,5808.387233608728
30,0.565,5790.555730122271
31,0.571,5776.701034437872
32,0.592,5749.490763916311
33,0.682,5991.7661978334245
34,0.689,6018.653709989579
35,0.714,6038.723478970255
36,0.728,6009.681424880418
37,0.734,5992.112130028157
38,0.739,5979.5839906989995
39,0.746,5965.169000943315
40,0.751,5957.512031682825
41,0.775,5949.126810750143
42,0.794,5972.431731292874
43,0.835,6028.036988950701
44,0.863,5943.176947799805
45,0.933,5858.437287914845
46,0.941,5874.7774203767585
47,0.948,5890.399402835324
48,0.955,5910.995277599551
49,0.968,5926.4603518960075
50,1.022,5754.760125946776
51,1.03,5718.302665914787
52,1.039,5681.701015173178
53,1.05,5649.390397451961
54,1.082,5623.384019055056
55,1.091,5630.3631844229885
56,1.172,5930.68324693511
57,1.18,5971.610802891437
58,1.186,5992.727247752437
59,1.214,6001.020146541039
60,1.218,5991.6449564916265
61,1.245,5896.24648951229
62,1.258,5840.55800459509
63,1.283,5779.546679513792
64,1.316,5781.070469265831
65,1.339,5830.265594999227
66,1.346,5851.886582442331
67,1.404,6097.882223596075
68,1.422,6160.924311641304
69,1.433,6163.835069483239
70,1.442,6152.989966246999
71,1.469,6060.502221040815
72,1.497,5931.499739198758
73,1.513,5883.798755946283
74,1.524,5865.270399255995
75,1.529,5860.6228512072275
76,1.535,5857.220929180919
77,1.537,5856.690491673427
78,1.597,5967.82377184769
79,1.604,5979.728372700036
80,1.615,5993.462882729552
81,1.632,5995.681759403178
82,1.658,5951.495284394603
83,1.667,5934.867865707031
84,1.678,5923.522152674738
85,1.691,5922.842116925297
86,1.698,5927.453894177703
87,1.704,5934.690042570956
88,1.729,5988.462962748209
89,1.738,6010.16172277021
90,1.766,5991.002551399444
91,1.779,5961.574872781127
92,1.784,5953.555833663768
93,1.793,5946.299826061507
94,1.8,5945.272225307341
95,1.812,5950.947708534159
96,1.826,5968.566067921465
97,1.883,6124.444810920307
98,1.929,6023.081855313465
99,1.959,5894.792328591593
100,2.005,5855.4910086640575
101,2.019,5876.005013188129
102,2.027,5893.487413309061
103,2.047,5952.7645164598625
104,2.049,5958.795767607612
105,2.075,5968.239798336484
106,2.087,5946.91267588065
107,2.106,5927.3060241496
108,2.153,5985.924961811504
109,2.16,6005.8291269023275
110,2.17,6014.3118979088895
111,2.177,6009.518116407897
112,2.188,5989.171066650932
113,2.205,5948.169387973354
114,2.217,5932.7506425755355
115,2.258,5968.139587980771
116,2.278,6015.539276397742
117,2.292,6016.017848955491
118,2.302,5998.0403524167705
119,2.319,5942.099872649171
120,2.342,5843.030033039824
121,2.366,5775.037025977625
122,2.389,5762.249049200151
123,2.403,5775.568194595589
124,2.419,5808.523139057236
125,2.429,5838.7531908672545
126,2.437,5857.937240133013
127,2.442,5863.02907788954
128,2.46,5875.332287563275
129,2.477,5905.264554032388
130,2.484,5921.390881808257
131,2.493,5927.76237087502
132,2.497,5926.196866346531
133,2.5,5922.802476753163
134,2.502,5919.073653409721
135,2.529,5838.613608939876
136,2.534,5817.795127109769
137,2.543,5782.881811926862
138,2.569,5731.368458124027
139,2.585,5728.354841419697
140,2.6,5742.6019750211935
141,2.615,5771.033963609835
142,2.626,5799.164447994871
143,2.634,5822.410382972297
144,2.658,5912.824952524153
145,2.679,5969.138909484765
146,2.702,5947.643480614903
147,2.742,5787.812049449592
148,2.748,5761.054508073926
149,2.767,5699.177357342615
150,2.791,5668.88954582162
151,2.84,5757.068455074307
152,2.845,5771.620748148273
153,2.861,5835.114528658822
154,2.869,5868.2243102080065
155,2.881,5899.876195847117
156,2.89,5905.049917338919
157,2.902,5892.086871893772
158,2.91,5880.712445483735
159,2.915,5874.928867529274
160,2.921,5871.367085651442
161,2.929,5870.756346723142
162,2.934,5872.757427016933
163,2.95,5889.764059492138
164,2.968,5928.485996208384
165,2.974,5942.586836880902
166,3.002,5928.900333900697
167,3.043,5818.813105924065
168,3.052,5810.670311988428
169,3.07,5815.71070559061
170,3.101,5877.040058245473
171,3.127,5963.600241872627
172,3.15,6022.935285935817
173,3.196,5916.3449000177925
174,3.229,5818.983087802852
175,3.268,5825.506443007903
176,3.301,5911.862302482794
177,3.308,5933.6539573815735
178,3.311,5940.699309834764
179,3.314,5946.386855130598
180,3.319,5951.921013056211
181,3.329,5950.941924384561
182,3.339,5942.591689762208
183,3.358,5946.4373910029835
184,3.372,5965.539492640879
185,3.375,5970.963812023203
186,3.383,5977.509491483365
187,3.387,5976.972928894015
188,3.392,5972.272467434068
189,3.427,5863.7479207651295
190,3.447,5783.4786165003225
191,3.452,5769.650165972126
192,3.475,5723.407132017163
193,3.495,5720.889892950045
194,3.547,5851.931552701387
195,3.625,5808.242705143349
196,3.634,5777.949722175414
197,3.65,5738.146978337963
198,3.684,5729.095659190857
199,3.704,5764.630074200884
200,3.713,5785.324853323261
201,3.726,5829.013315483475
202,3.74,5864.019312947356
203,3.782,5788.650734439816
204,3.798,5735.9704368546845
205,3.829,5694.7878120942505
206,3.849,5712.782849408899
207,3.861,5734.426442154007
208,3.864,5743.156516031785
209,3.898,5860.389913257838
210,3.924,5907.823764331276
211,3.941,5878.9092048891935
212,3.955,5838.407605698844
213,3.964,5820.059018054849
214,3.974,5807.366097502046
215,3.98,5804.236353312171
216,3.986,5803.501653896312
217,3.99,5804.704378678523
218,3.994,5806.80234126772
219,4.003,5815.697951944516
220,4.013,5832.2680490808625
221,4.022,5853.231977036676
222,4.029,5871.9944663973965
223,4.041,5906.541656434365
224,4.048,5914.21946840388
225,4.059,5911.493726886074
226,4.066,5902.967250739144
227,4.07,5899.335010703729
228,4.082,5897.584614073921
229,4.088,5900.277043131255
230,4.103,5917.989093473102
231,4.116,5942.57745501915
232,4.157,6076.321913457246
233,4.172,6085.241939460283
234,4.221,5922.045435565052
235,4.231,5874.500438443508
236,4.271,5776.034108075391
237,4.281,5774.891283572875
238,4.288,5778.619211047979
239,4.297,5788.004443394323
240,4.309,5810.3798713345
241,4.324,5850.9758541407355
242,4.333,5874.3570321093
243,4.341,5881.393951632941
244,4.348,5880.1428848320575
245,4.355,5880.830245640168
246,4.36,5883.365659603921
247,4.365,5887.781336050038
248,4.37,5893.706375860577
249,4.376,5903.211701348115
250,4.386,5923.966833995902
251,4.391,5934.9341717153875
252,4.407,5945.646346182177
253,4.414,5937.67035799747
254,4.424,5915.491266387672
255,4.472,5808.39453032612
256,4.483,5809.973961190673
257,4.49,5816.001261579894
258,4.493,5819.384670032444
259,4.502,5833.80292203439
260,4.514,5860.587390815021
261,4.525,5889.371976361757
262,4.547,5916.146574128862
263,4.58,5870.890727903385
264,4.591,5871.471763050148
265,4.635,5955.0037049569055
266,4.644,5982.093771711762
267,4.673,5970.342843876984
268,4.737,5695.094644394615
269,4.757,5636.058695950619
270,4.798,5633.095098530701
271,4.863,5864.27343329507
272,4.893,6004.477138982147
273,4.909,6018.008338434168
274,4.93,5976.96785245064
275,4.94,5942.64898234525
276,4.975,5881.697406918054
277,4.984,5883.358468639834
278,5.019,5941.611347506313
279,5.021,5947.692680560327
280,5.036,5960.06119248974
281,5.043,5952.973325621741
282,5.05,5941.255156631679
283,5.069,5882.768703167779
284,5.103,5822.361250232445
285,5.107,5821.659878781756
286,5.134,5848.108195309142
287,5.156,5903.8675558492205
288,5.16,5917.665818059989
289,5.177,5937.412982914027
290,5.263,5589.180780756083
291,5.297,5411.293027842119
292,5.306,5379.360048507453
293,5.319,5344.691626943724
294,5.331,5328.042705974879
295,5.408,5510.709915335613
296,5.414,5541.652241280287
297,5.422,5581.6259403084705
298,5.445,5717.098731726394
299,5.451,5749.54973504003
300,5.486,5799.144093985889
301,5.502,5765.009984014445
302,5.547,5760.811244511705
303,5.569,5812.818990167841
304,5.588,5881.225460744484
305,5.595,5907.489265004477
306,5.599,5917.298798653034
307,5.61,5930.403073686404
308,5.626,5920.681290279399
309,5.654,5874.828974103472
310,5.699,5903.894142799975
311,5.728,5989.4410899997265
312,5.747,6035.324592167494
313,5.79,5927.705416000184
314,5.806,5870.0535560179715
315,5.826,5825.142602655992
316,5.843,5816.070802475371
317,5.849,5818.282240846987
318,5.856,5823.202843008528
319,5.866,5837.704276792184
320,5.874,5852.275013383754
321,5.886,5883.9509652476145
322,5.893,5902.745418941292
323,5.903,5914.80869872235
324,5.919,5901.649704507625
325,5.924,5890.407107997285
326,5.928,5883.363684175694
327,5.948,5861.687092542331
328,5.967,5872.030573639948
329,6.019,6011.480508179015
330,6.023,6027.02376650146
331,6.032,6044.964055756589
332,6.051,6039.321235058926
333,6.068,5996.555438525533
334,6.071,5985.805816397118
335,6.091,5941.473435607669
336,6.124,5934.223799742548
337,6.209,6200.380170095635
338,6.229,6270.297414727853
339,6.242,6270.6450279124965
340,6.258,6237.331961858043
341,6.286,6117.3749986572275
342,6.294,6081.484940309505
343,6.299,6060.405788092052
344,6.309,6021.971025986451
345,6.315,6003.339388529647
346,6.337,5962.800274651937
347,6.34,5960.768417589012
348,6.345,5958.222069268124
349,6.383,5995.864936073628
350,6.403,6039.886386258198
351,6.412,6043.803163271863
352,6.427,6024.225145311963
353,6.444,5995.541952779125
354,6.451,5990.751057396324
355,6.456,5989.690389282736
356,6.471,5996.28488831066
357,6.483,6006.471573245279
358,6.494,5996.112231285893
359,6.503,5980.3942151311385
360,6.533,5967.783556034585
361,6.547,5983.696075318071
362,6.571,6021.7384878143985
363,6.584,6009.4497333854215
364,6.595,5988.541167025797
365,6.631,5979.145982992609
366,6.641,5992.217141309733
367,6.677,6084.548610954516
368,6.691,6124.86431068526
369,6.695,6129.805719777913
370,6.703,6128.847887349866
371,6.734,6044.761371645803
372,6.754,5976.403360813815
373,6.783,5942.33182478285
374,6.823,5998.0260732131765
375,6.829,6014.809474870235
376,6.844,6027.033173891302
377,6.851,6020.8008305269095
378,6.868,5979.736144071717
379,6.919,5909.876246750609
380,6.97,6029.7947311786975
381,6.983,6072.858911721483
382,6.998,6082.964381706818
383,7.03,5997.0877478978655
384,7.046,5933.711181402444
385,7.073,5863.221027514111
386,7.085,5853.855618708107
387,7.099,5855.880762524238
388,7.106,5862.618311816595
389,7.114,5874.631441955697
390,7.126,5900.320614551646
391,7.139,5917.522218817787
392,7.153,5907.721840176337
393,7.17,5893.973918466001
394,7.178,5896.102635954442
395,7.184,5900.656394125013
396,7.22,5981.353058482799
397,7.244,6027.8175886010595
398,7.261,6001.453558735434
399,7.274,5973.46956703322
400,7.279,5967.488813052174
401,7.294,5960.453822485944
402,7.304,5965.792935189357
403,7.35,6069.964905804719
404,7.369,6101.301858769781
405,7.408,5992.460499441266
406,7.415,5959.772444838626
407,7.442,5887.177359492179
408,7.45,5878.2987426820755
409,7.463,5876.358526113323
410,7.466,5878.116832896742
411,7.474,5884.891607016231
412,7.482,5896.661086819562
413,7.489,5912.284419247078
414,7.533,5949.140945316559
415,7.585,5832.001643973019
416,7.607,5814.264600481121
417,7.62,5822.056712526579
418,7.636,5849.604193911025
419,7.655,5901.907105704942
420,7.67,5938.639684085592
421,7.675,5940.388912485571
422,7.688,5925.372113751278
423,7.691,5918.798172426011
424,7.7,5903.961159567853
425,7.706,5898.40168380733
426,7.725,5900.8746395389535
427,7.752,5947.240355179656
428,7.764,5975.782740782417
429,7.776,5976.770982174586
430,7.798,5967.526479397407
431,7.839,6041.323822641442
432,7.856,6090.0238290661455
433,7.864,6095.471985121103
434,7.889,6047.661327988947
435,7.895,6027.045973940293
436,7.909,5986.573098165009
437,7.917,5970.363676955663
438,7.924,5961.425870636659
439,7.938,5957.4448952319635
440,7.947,5963.03575034741
441,7.973,6008.075192927573
442,7.992,6049.701699185491
443,7.999,6050.15208275535
444,8.002,6049.495557822386
445,8.007,6047.438604635127
446,8.036,5975.469571997147
447,8.048,5927.435112102151
448,8.07,5865.801706622664
449,8.077,5856.778875901922
450,8.081,5853.159469226714
451,8.083,5851.868942496773
452,8.095,5852.130242072977
453,8.102,5858.039235192686
454,8.105,5861.294263142503
455,8.11,5869.181642475873
456,8.133,5923.235460883513
457,8.138,5937.615891374134
458,8.176,5891.992489407601
459,8.193,5842.995730972246
460,8.206,5824.423611384556
461,8.21,5821.5066348811215
462,8.228,5825.67599513236
463,8.245,5853.415930145101
464,8.249,5860.871084039808
465,8.26,5892.923448212229
466,8.271,5915.143737654105
467,8.298,5884.957584960132
468,8.308,5851.335942014399
469,8.314,5834.254123837175
470,8.337,5804.7822907288655
471,8.363,5825.526537216939
472,8.397,5921.373132523021
473,8.405,5950.196879177669
474,8.458,5879.694420900617
475,8.473,5816.184784573934
476,8.504,5754.2859121251595
477,8.521,5757.97342841648
478,8.529,5768.115719452499
479,8.539,5788.553695091167
480,8.572,5889.922707768894
481,8.602,5969.566529155402
482,8.634,5895.218929029425
483,8.641,5870.259713485876
484,8.659,5825.87618210104
485,8.694,5818.613012816076
486,8.713,5851.265747465602
487,8.729,5898.777887576345
488,8.739,5921.126556060281
489,8.75,5926.338581492119
490,8.768,5900.127919219377
491,8.774,5887.478779149343
492,8.794,5866.756680336172
493,8.81,5874.066841938882
494,8.821,5889.088813081832
495,8.834,5915.3544060746735
496,8.846,5948.834190558314
497,8.87,5949.362941860169
498,8.878,5932.478162938133
499,8.891,5907.432815449097
500,8.915,5901.854886439359
501,8.941,5943.853816916171
502,8.954,5966.1376406594545
503,8.997,5869.56019743952
504,9.037,5769.2688159078325
505,9.054,5769.803580428574
506,9.078,5808.063538799412
507,9.092,5847.526504884092
508,9.099,5867.777160448927
509,9.106,5877.657721519183
510,9.114,5878.413825210471
511,9.139,5846.110138617479
512,9.158,5813.464929208494
513,9.175,5811.488288370804
514,9.182,5817.821841551035
515,9.189,5827.47351892831
516,9.195,5838.370822911103
517,9.211,5878.5825713363365
518,9.224,5905.422297099685
519,9.227,5906.542713433518
520,9.241,5891.776357300983
521,9.255,5854.151827131726
522,9.268,5828.222328801573
523,9.276,5818.359726665229
524,9.282,5815.075325981229
525,9.289,5815.410590634506
526,9.302,5826.870939006182
527,9.31,5840.068225147212
528,9.318,5855.958839431145
529,9.325,5875.619401769199
530,9.333,5898.950916040313
531,9.355,5938.471166368275
532,9.38,5889.383439466417
533,9.386,5868.624590284597
534,9.395,5845.488907897916
535,9.399,5837.207232079265
536,9.409,5825.294917528579
537,9.419,5821.925442154997
538,9.439,5838.948864469285
539,9.448,5856.381487367487
540,9.456,5876.42631268959
541,9.468,5913.420862759667
542,9.474,5925.86971015188
543,9.479,5929.616083614427
544,9.486,5928.239471103219
545,9.514,5855.522860945292
546,9.543,5733.8241134903155
547,9.551,5710.080628012283
548,9.587,5681.632010729297
549,9.614,5732.3002020586755
550,9.627,5773.486537603057
551,9.651,5874.744026894374
552,9.712,6155.626025178941
553,9.737,6121.479981107155
554,9.783,5910.126215699268
555,9.806,5780.825366243755
556,9.837,5677.04997080416
557,9.851,5662.91522254102
558,9.92,5818.4038035730355
559,9.967,6057.025135437546
560,9.982,6126.119973785856
