,time,speed
0,0.039,1.552733098255174
1,0.115,50.60964070951318
2,0.158,193.60738498698097
3,0.195,442.9600363254356
4,0.267,1165.3338658325108
5,0.328,1965.462314406086
6,0.364,2427.4393375894406
7,0.424,2909.349803418111
8,0.473,2976.4515708365043
9,0.515,2919.672383896736
10,0.563,2836.230155612765
11,0.612,2822.62127493254
12,0.659,2861.1645336992106
13,0.698,2924.916390650231
14,0.785,2962.483417720321
15,0.839,2951.3994154289603
16,0.911,3028.3616303687127
17,0.961,3027.174340108106
18,1.022,2897.503864050421
19,1.056,2816.3071263400598
20,1.092,2777.270299937505
21,1.134,2784.99943347361
22,1.178,2841.971792310226
23,1.227,2943.3196920095274
24,1.268,2984.385693013801
25,1.305,2934.7350421003866
26,1.337,2887.0029513608947
27,1.369,2872.5508553228706
28,1.403,2885.4468813422855
29,1.46,2949.9254587560054
30,1.519,2975.493629308114
31,1.56,2969.3840735355916
32,1.665,3087.47384536459
33,1.701,3102.3405186823757
34,1.743,3030.7138196867168
35,1.778,2964.473298295703
36,1.812,2941.2966481030703
37,1.848,2953.112009695359
38,1.882,2988.8649818132103
39,1.913,2996.769153011875
40,1.95,2939.636781444726
41,1.995,2862.8846332054745
42,2.03,2846.8106193550307
43,2.067,2870.789815069622
44,2.102,2923.030287199317
45,2.145,3012.7921456946924
46,2.191,3042.5133058720776
47,2.231,2973.6665497069725
48,2.262,2913.9118590972575
49,2.307,2890.70383770449
50,2.347,2917.661713642146
51,2.386,2976.469668356979
52,2.425,2989.427069579419
53,2.473,2925.509591083074
54,2.512,2881.4894973194573
55,2.549,2884.9763547998946
56,2.587,2924.403197158443
57,2.628,2997.2982082124176
58,2.668,3018.8664378716794
59,2.715,2936.8596470739203
60,2.764,2852.099066928848
61,2.798,2838.9322499838863
62,2.838,2865.793340223714
63,2.893,2954.8835054610777
64,2.946,3019.2495209434496
65,3.001,2935.7832071080256
66,3.049,2848.0936860504485
67,3.088,2831.6991967189597
68,3.143,2876.772528006119
69,3.194,2968.6047526926445
70,3.231,2995.0265355424517
71,3.275,2928.543273593421
72,3.309,2866.936364676412
73,3.343,2847.788502381142
74,3.381,2866.666188587537
75,3.427,2930.501789278612
76,3.481,3036.828036328463
77,3.519,3065.8679130410874
78,3.566,2989.2151856415985
79,3.601,2918.2149970678406
80,3.632,2892.625420096982
81,3.667,2901.6999350073183
82,3.717,2961.196925300255
83,3.759,2973.6596688885033
84,3.802,2954.023944579714
85,3.835,2973.4014341574843
86,3.867,3001.6739486415627
87,3.92,2976.721446968646
88,3.957,2934.6680910378764
89,3.995,2936.0528990329112
90,4.028,2967.118403860016
91,4.065,2972.083699605322
92,4.097,2954.5078393433405
93,4.132,2969.653556596566
94,4.175,3021.9675013477636
95,4.21,3030.3061390256107
96,4.246,2966.4812071336614
97,4.289,2879.106088082364
98,4.366,2865.025221580318
99,4.401,2909.4409352337834
100,4.447,2997.129766479951
101,4.49,3018.5960741486856
102,4.529,2951.514169624229
103,4.573,2881.0428929085056
104,4.615,2872.128322371988
105,4.65,2902.781077887983
106,4.701,2987.5318974262577
107,4.74,3005.9917727485927
108,4.786,2927.548016516886
109,4.82,2861.9352253475167
110,4.857,2839.5663440513804
111,4.889,2855.951942698684
112,4.928,2909.520575049231
113,4.977,3008.0389423152474
114,5.035,3020.4260375436693
115,5.097,2887.857950423073
116,5.136,2814.298971600328
117,5.236,2752.0424332969137
118,5.366,2895.733555642644
119,5.4,2983.2709307076016
120,5.459,3010.518048766488
121,5.77,2388.515168936272
122,5.807,2318.134779458351
123,5.859,2243.7090410905157
124,5.928,2263.1386329823745
125,6.021,2511.7791908361437
126,6.06,2678.060953282591
127,6.1,2854.3881045843304
128,6.149,2971.965070401792
129,6.209,2902.7404814919028
