base_delay,base_loss,control_interval,result
2,0,12,97.02
2,0,12,97.52
2,0,13,96.75
2,0,13,97.18
2,0,13,97.38
2,0,13,97.88
2,0,13,97.4
2,0,13,97.62
2,0,13,96.99
2,0,13,97.39
2,0,13,96.88
2,0,13,96.64
2,0,14,96.99
2,0,14,97.38
2,0,14,96.79
2,0,14,96.96
2,0,14,96.72
2,0,14,96.66
2,0,14,97.46
2,0,14,97.95
2,0,14,96.98
2,0,14,96.86
2,0,15,96.56
2,0,15,97.41
2,0,15,97.3
2,0,15,97.04
2,0,15,97.15
2,0,15,97.02
2,0,15,97.41
2,0,15,96.31
2,0,15,97.1
2,0,15,96.8
2,0,16,97.26
2,0,16,96.67
2,0,16,96.9
2,0,16,97.2
2,0,16,96.88
2,0,16,97.03
2,0,16,96.91
2,0,16,97.28
2,0,16,96.8
2,0,16,97.22
2,0,17,96.47
2,0,17,96.64
2,0,17,97.18
2,0,17,97.46
2,0,17,96.9
2,0,17,96.74
2,0,17,97.3
2,0,17,96.7
2,0,17,97.35
2,0,17,97.31
2,0,18,97.34
2,0,18,97.17
2,0,18,96.93
2,0,18,97.04
2,0,18,96.84
2,0,18,97.19
2,0,18,97.21
2,0,18,97.06
2,0,18,96.92
2,0,18,97.08
2,0,19,97.68
2,0,19,97.2
2,0,19,97.0
2,0,19,96.35
2,0,19,96.51
2,0,19,96.56
2,0,19,96.97
2,0,19,96.58
2,0,19,96.76
2,0,19,96.67
2,0,20,96.54
2,0,20,96.57
2,0,20,96.89
2,0,20,96.85
2,0,20,96.64
2,0,20,96.69
2,0,20,96.75
2,0,20,96.63
2,0,20,96.61
2,0,20,96.71
3,0,1,96.02
3,0,1,97.35
3,0,1,96.68
3,0,1,97.33
3,0,1,96.75
3,0,1,96.29
3,0,1,96.58
3,0,1,96.9
3,0,1,96.39
3,0,1,97.87
3,0,2,96.99
3,0,2,97.44
3,0,2,97.53
3,0,2,97.79
3,0,2,97.4
3,0,2,97.38
3,0,2,97.35
3,0,2,97.48
3,0,2,97.9
3,0,2,97.03
3,0,3,97.77
3,0,3,98.13
3,0,3,97.3
3,0,3,96.83
3,0,3,97.43
3,0,3,97.16
3,0,3,97.61
3,0,3,97.21
3,0,3,97.54
3,0,3,97.22
3,0,4,97.64
3,0,4,97.93
3,0,4,97.65
3,0,4,97.1
3,0,4,97.3
3,0,4,97.48
3,0,4,97.5
3,0,4,98.12
3,0,4,97.24
3,0,4,96.89
3,0,5,97.5
3,0,5,97.41
3,0,5,97.77
3,0,5,97.49
