base_delay,base_loss,control_interval,result
10,0,1,96.63
10,0,1,97.33
10,0,1,96.94
10,0,1,96.91
10,0,1,97.35
10,0,1,95.98
10,0,1,97.55
10,0,1,96.96
10,0,1,96.94
10,0,1,97.12
10,0,10,97.33
10,0,10,97.0
10,0,10,97.14
10,0,10,97.09
10,0,10,96.61
10,0,10,96.69
10,0,10,96.77
10,0,10,97.49
10,0,10,97.12
10,0,10,96.36
20,0,1,96.83
20,0,1,95.98
20,0,1,95.82
20,0,1,96.06
20,0,1,96.92
20,0,1,95.49
20,0,1,96.3
20,0,1,95.85
20,0,1,96.07
20,0,1,96.49
20,0,10,95.71
20,0,10,95.87
20,0,10,96.2
20,0,10,95.75
20,0,10,95.66
20,0,10,96.03
20,0,10,95.34
20,0,10,96.33
20,0,10,95.98
20,0,10,95.63
30,0,1,95.3
30,0,1,94.89
30,0,1,95.67
30,0,1,94.99
30,0,1,95.47
30,0,1,94.72
30,0,1,95.01
30,0,1,94.7
30,0,1,94.98
30,0,1,94.84
30,0,10,94.55
30,0,10,94.21
30,0,10,94.76
30,0,10,94.36
30,0,10,94.45
30,0,10,94.0
30,0,10,94.48
30,0,10,94.38
30,0,10,94.82
30,0,10,93.95
40,0,1,93.92
40,0,1,93.93
40,0,1,94.15
40,0,1,94.1
40,0,1,93.55
40,0,1,94.34
40,0,1,93.89
40,0,1,93.89
40,0,1,93.89
40,0,1,93.72
40,0,10,93.28
40,0,10,92.76
40,0,10,93.21
40,0,10,93.56
40,0,10,93.07
40,0,10,93.31
40,0,10,93.34
40,0,10,92.79
40,0,10,93.12
40,0,10,93.21
50,0,1,93.26
50,0,1,92.89
50,0,1,92.99
50,0,1,92.85
50,0,1,93.12
50,0,1,93.17
50,0,1,92.7
50,0,1,92.83
50,0,1,92.99
50,0,1,93.28
50,0,10,91.55
50,0,10,91.95
50,0,10,92.15
50,0,10,92.0
50,0,10,91.75
50,0,10,92.28
50,0,10,91.73
50,0,10,91.73
50,0,10,92.27
50,0,10,92.11
