0,10,0.95625
0,11,0.9575
0,12,0.95875
0,13,0.9675
0,14,0.97125
0,15,0.9725
0,16,0.9775
0,17,0.9725
0,18,0.97125
0,19,0.97625
0,20,0.985
10,10,0.95625
10,11,0.95625
10,12,0.9625
10,13,0.96625
10,14,0.97
10,15,0.97875
10,16,0.9775
10,17,0.9825
10,18,0.98
10,19,0.98
10,20,0.9825
20,10,0.94875
20,11,0.96125
20,12,0.96125
20,13,0.96625
20,14,0.97
20,15,0.97125
20,16,0.98375
20,17,0.98375
20,18,0.985
20,19,0.9875
20,20,0.985
30,10,0.95625
30,11,0.96
30,12,0.965
30,13,0.96875
30,14,0.9775
30,15,0.97625
30,16,0.97375
30,17,0.98125
30,18,0.98375
30,19,0.975
30,20,0.995
40,10,0.9425
40,11,0.94875
40,12,0.94625
40,13,0.95375
40,14,0.96125
40,15,0.965
40,16,0.9725
40,17,0.97125
40,18,0.975
40,19,0.975
40,20,0.97875
50,10,0.9375
50,11,0.94
50,12,0.9475
50,13,0.955
50,14,0.9575
50,15,0.9575
50,16,0.9575
50,17,0.9675
50,18,0.96625
50,19,0.95875
50,20,0.9675
60,10,0.93625
60,11,0.93625
60,12,0.9425
60,13,0.95125
60,14,0.94375
60,15,0.945
60,16,0.95625
60,17,0.95875
60,18,0.95625
60,19,0.955
60,20,0.96125
70,10,0.92625
70,11,0.92375
70,12,0.93
70,13,0.93625
70,14,0.94125
70,15,0.9425
70,16,0.94
70,17,0.94625
70,18,0.94625
70,19,0.9525
70,20,0.94625
