delay_mean,loss_mean,control_interval,sla(90%),sla(91%),sla(92%),sla(93%),sla(94%),sla(95%),sla(96%),sla(97%),sla(98%),sla(99%),avg_precision
1.0,0.17,20.0,99.15813583277455,99.1323582191335,99.10150486913801,99.06793887370581,99.03890702714178,99.00646248538476,98.96510126533303,98.90042361515384,98.5263173076654,98.02617647922432,99.55
1.0,0.18,20.0,99.11972807113486,99.09037136476341,99.06011486583998,99.01315003112055,98.97632838857393,98.93864105061074,98.87518872252255,98.78028061895147,98.43763315075137,98.10337569884103,99.53
1.0,0.19,20.0,99.15514295016382,99.10966290122239,99.08141582654275,99.03287269247778,98.9907842161713,98.94026108441577,98.87838632766844,98.71994425693258,98.55518771299205,98.41452483149777,99.56
1.0,0.1,20.0,99.4260706972632,99.40498256323535,99.38441162649292,99.3591642318088,99.32012804489875,99.27471026640129,99.18744754330632,99.09669732104453,99.03808154356777,98.9808125724003,99.63
1.0,0.21,20.0,99.04165100747461,99.01136073607623,98.96941086677234,98.8924721215621,98.83363880288981,98.74751854340069,98.59835497059525,98.43950644666766,98.28464883832622,97.94208122837468,99.52
1.0,0.22,20.0,99.07948351967185,99.05898474969813,99.02580164703474,98.98840222272884,98.95350546464732,98.90524035429951,98.83509755281179,98.66902950273301,98.53781343865008,98.43069945125292,99.52
1.0,0.23,20.0,99.02445394480537,99.00121822458748,98.97055545285806,98.93121384167056,98.89115576489667,98.82702093190419,98.72226721148688,98.57511248627894,98.42455480856738,97.93568937266593,99.49
1.0,0.24,20.0,98.97615601391631,98.91946621371021,98.85820728351109,98.77598335910746,98.62962673941293,98.50751247293249,98.38135855157309,98.28486589428235,98.00957919255566,97.60850624145239,99.46
1.0,0.25,20.0,98.97776584961574,98.92365993731117,98.86541465879789,98.78365838953998,98.6712474011096,98.54456573568933,98.42939561480789,98.35107464785625,98.2485801147765,97.94868955883736,99.48
1.0,0.26,20.0,98.97281324408681,98.93521912962706,98.86826941344577,98.79845830884324,98.73057534032658,98.61829347459123,98.5180428249616,98.36982510775427,98.15706255063635,97.65081094855702,99.46
1.0,0.27,20.0,99.07505928062872,99.03476127184642,99.00550796203272,98.97632820156191,98.91109173738823,98.83502037620443,98.71000162653746,98.54965288662149,98.39260554106359,98.26007345128397,99.51
1.0,0.28,20.0,98.8644179615748,98.80127581390356,98.75840843489163,98.6982426276974,98.59387773916191,98.47945216197286,98.29934486467148,98.08131387723505,97.70512283693947,97.33431362917686,99.41
1.0,0.29,20.0,98.84713438044031,98.79848303638286,98.75044802340156,98.70345397536524,98.60516954172118,98.49871460282834,98.39551948392611,98.25920381361419,97.99254088700984,97.24359718831438,99.42
1.0,0.2,20.0,99.16372098189494,99.12412772102851,99.09319077875031,99.0586658482552,99.02441329437326,98.98247180511629,98.92252865896731,98.8243599833973,98.58396252363768,98.41251582413322,99.56
1.0,0.31,20.0,98.88706646975609,98.82381686005097,98.77357449349164,98.68566392768643,98.591262154621,98.50979615309944,98.44545385004483,98.39189378370729,98.29478623770058,98.15954349101233,99.48
1.0,0.32,20.0,98.55353167739499,98.50337567787237,98.40211388849251,98.32003271662451,98.22994663023627,98.10788689354169,97.91170287291386,97.62101463803432,97.43741774739084,97.24282172092576,99.35
1.0,0.33,20.0,98.67965660401802,98.62190399134373,98.53253248236231,98.43782231646838,98.3058750198755,98.17758086270285,97.94605167270798,97.71091220868597,97.54796669860924,96.6022997658602,99.36
1.0,0.34,20.0,98.75388512636603,98.66608186459919,98.60481114582497,98.51810194310958,98.44385401121343,98.36876129935528,98.30434666468366,98.2085703370986,98.00248027439079,97.63608040003673,99.41
1.0,0.35,20.0,98.66123377752366,98.60110138858603,98.48971769813119,98.35998617786659,98.13540369912086,97.85341224707375,97.61757588798532,97.26243199205253,96.72846986120142,95.32108885512402,99.34
1.0,0.36,20.0,98.5974995074893,98.51555319890873,98.42929209200285,98.36737841788401,98.24996760113282,98.11188431323248,97.95014259539664,97.70790880252625,97.51921547042129,97.16047429768359,99.39
1.0,0.37,20.0,98.45866483743028,98.3731551179402,98.2924255499638,98.15468135329914,97.90121920998284,97.68819682998938,97.42820919485698,96.97580053347122,96.61612907997166,95.95405086608596,99.27
1.0,0.38,20.0,98.5223325737807,98.47917856018304,98.41786000958058,98.36134907294034,98.26961284765957,98.15773058927712,97.87949755953119,97.67337789143623,97.44801443242005,96.76428654096561,99.31
1.0,0.39,20.0,98.51179393508745,98.43264440502139,98.36461647727948,98.30575402428127,98.22388585150757,98.087092083678,97.8448392214633,97.57448687554111,97.34547318775711,96.61173948389298,99.3
1.0,0.3,20.0,98.8428661833052,98.75300291505853,98.64849225737863,98.52574957638731,98.41432823732929,98.30163796785995,98.1410135827525,97.81143103205875,97.37283944225786,96.63436543687078,99.39
1.0,0.41,20.0,98.31408261125215,98.23208961657636,98.08239373645613,97.94744351307847,97.81612781125503,97.59635150666965,97.39340546295504,97.14699869941713,96.58975168621707,95.84846570891281,99.22
1.0,0.42,20.0,98.40300329836904,98.35655938525694,98.28901906401188,98.21536140947804,98.12683523726275,97.97118245357574,97.73876260291797,97.50693936108321,97.20575062355273,96.81493414209949,99.27
1.0,0.43,20.0,98.04007175334452,97.87462162660306,97.71165351590167,97.53098928908942,97.29647101014817,96.98517951458304,96.6741088696894,96.19749840417859,95.6196749521615,94.5635578629583,99.12
1.0,0.44,20.0,98.2633393308538,98.18406837555973,98.06810971504399,97.98802016348021,97.82511398400494,97.69680423889838,97.56769555008377,97.33595258405255,97.03305537542437,95.96475525685898,99.23
1.0,0.45,20.0,97.89395158858113,97.78508264633943,97.69299058387975,97.59806557241832,97.48672599294132,97.37423492984581,97.2741595805305,97.05669508806974,96.68841970002204,95.89376633438278,99.1
1.0,0.46,20.0,97.90027134548917,97.77373097012968,97.60967629874243,97.42984659536259,97.21654704396076,96.97121513328185,96.75842887961903,96.42779045811407,95.95653632005067,95.41295394005189,99.11
1.0,0.47,20.0,97.57076956451453,97.45588139671388,97.27557841050603,97.1241490486075,96.95766538671356,96.76005771379829,96.48615438992557,96.03702121134054,94.29472430454115,93.22428535391612,98.91
1.0,0.48,20.0,97.82678005720759,97.69335721713938,97.57563626228378,97.49025095213281,97.22106186567567,96.99980929143886,96.57793641077403,95.9683759569597,95.34799352726665,94.01530004555917,99.02
1.0,0.49,20.0,97.68503088797834,97.53846255010124,97.35103878987267,97.15053867062832,96.98102699077124,96.78645491228161,96.56990974719776,96.19283749337727,95.74949030972832,94.930740749225,98.95
1.0,0.4,20.0,98.30371993203617,98.20874971413724,98.13847229106011,98.0065991224055,97.91196556153912,97.78684764676794,97.64802294084666,97.30216368972108,96.79471791908664,94.52081520834345,99.2
1.0,0.5,20.0,97.96347921318481,97.86142594217415,97.73861253029386,97.62955076497451,97.52739042815196,97.37377990732718,97.12296305986067,96.8498588914776,96.60632020979692,96.13125235280596,99.07
10.0,0.01,20.0,99.37790237164063,99.3681245072683,99.35812525268314,99.34708782102923,99.33492345727952,99.32070173766485,99.30260817960972,99.26812588724718,99.2184045561616,99.0903224267868,99.6
10.0,0.02,20.0,99.3507378038404,99.33853311659311,99.32003962575638,99.30543396349758,99.2809198147091,99.25366525101816,99.22481302455861,99.18705966883404,99.14011526642905,99.02365251997362,99.59
10.0,0.03,20.0,99.32110046487864,99.30784421477041,99.2937522757983,99.27247132004176,99.25586291577034,99.22664562464094,99.1956024869661,99.15511859505145,99.08920786688975,98.97537110805251,99.58
10.0,0.04,20.0,99.34284724286428,99.32927451252444,99.31567703064361,99.29915613154449,99.27821916987565,99.25944054515806,99.23356306394071,99.19600612497325,99.1315146843683,98.93944894957639,99.6
10.0,0.05,20.0,99.26162991781517,99.24155190159955,99.2189110670265,99.19195976390188,99.15880382476323,99.12854384075672,99.09313087571167,99.01331354968084,98.89558383543925,98.75408784381632,99.57
10.0,0.06,20.0,99.33393337302371,99.31678687467274,99.29441442621591,99.28018193887553,99.25946331335415,99.22836412974544,99.18721101323787,99.12422038656449,99.0477610274192,98.86791098354524,99.58
10.0,0.07,20.0,99.27759606466114,99.25970821473176,99.24691535945009,99.22410796013628,99.18928680458977,99.15349250676104,99.10228654032683,99.04146866584244,98.97222405581728,98.81390331068565,99.56
10.0,0.08,20.0,99.32364297915117,99.30904269354586,99.27656108699887,99.25145949390014,99.22549746529776,99.19575429288966,99.16370785324348,99.09466615685507,98.98536299508977,98.80830820637243,99.59
10.0,0.09,20.0,99.2256284547307,99.19608084802731,99.167659562585,99.12220171064145,99.06578544346948,99.00981936053317,98.92893789267374,98.84013234765871,98.72790963861762,98.50804413418275,99.53
10.0,0.11,20.0,99.21562183231927,99.18961924797229,99.14988782960332,99.11446200272334,99.06994288898855,98.98744980655094,98.88851257327659,98.78890710106452,98.68894627318323,98.43033600134841,99.54
10.0,0.12,20.0,99.212830235646,99.18208379206744,99.14752090090504,99.10244944121082,99.05941535228244,98.98956744060767,98.92332768655973,98.82312426364068,98.7085484668554,98.45865226160102,99.54
10.0,0.13,20.0,99.07433721606505,99.04396524057935,99.00181688826356,98.97469782203818,98.93438403053057,98.89314756828477,98.8063737402815,98.69998687555109,98.57978552749387,98.33266362046197,99.47
10.0,0.14,20.0,99.15638221367904,99.11076315483155,99.06784777420197,99.02906605035339,98.97386734173746,98.87448005125496,98.75957259391687,98.6232076624172,98.43569837307398,98.18470788661094,99.52
10.0,0.15,20.0,99.15514496452631,99.13098688171605,99.10055187003299,99.07494472480568,99.05421914691878,98.9998413004514,98.93798814630128,98.86528155518415,98.7689842789042,98.51221887246959,99.52
10.0,0.16,20.0,99.06304206242481,99.03206802185906,98.98274352054867,98.93799811969812,98.88650066331377,98.8377212824145,98.75925724045568,98.6991810856802,98.60038176581328,98.38545262006822,99.5
10.0,0.17,20.0,99.09434660087018,99.06357515996991,99.02641431759518,98.99407025787707,98.94176759077489,98.88575771490305,98.80936998296984,98.73353198237194,98.59189254793444,98.42608160415487,99.5
10.0,0.18,20.0,98.91824502299126,98.88397513457414,98.8525283737724,98.8078924196285,98.71862511258826,98.63007559436463,98.48032668231329,98.3662178781785,98.17417794926119,97.9038023315121,99.42
10.0,0.19,20.0,99.06165321737434,99.03070235302899,98.97753057368332,98.92900273123676,98.86269083033739,98.7736933874311,98.67416699038495,98.54863580521251,98.3673607341907,97.88751332335025,99.48
10.0,0.1,20.0,99.24528958603791,99.21907005922115,99.17340310117619,99.13859435991135,99.09153338498206,99.03920536869622,98.95929478350911,98.89726015712968,98.81636942857227,98.6253805368737,99.55
10.0,0.21,20.0,98.83088741266802,98.78984490381673,98.75031763302324,98.69304195602425,98.61894962665255,98.56550960275928,98.47811705742578,98.31672942500049,98.13571210092512,97.50276306592515,99.38
10.0,0.22,20.0,98.96188149622877,98.92554481006538,98.88135882978001,98.83827888957208,98.77082654058255,98.7066289817498,98.63354485624764,98.52339186386197,98.39318211997195,98.14608594062686,99.45
10.0,0.23,20.0,98.9022639054101,98.82741493962868,98.75853490730996,98.62068839458112,98.52307031213381,98.3925064737034,98.24947777424161,98.09819707731833,97.84085820234327,97.28284908382983,99.43
10.0,0.24,20.0,98.88592750271572,98.83273756753354,98.78750639399505,98.72567334821821,98.67404062030256,98.59048235208944,98.47527524981774,98.37184097502784,98.19803124382852,97.95395922678551,99.4
10.0,0.25,20.0,98.9791932974655,98.95069442029343,98.90775604346068,98.85908172179388,98.79156891915069,98.72750609923239,98.63944313380895,98.56694622165105,98.46473970716359,98.28364163657137,99.45
10.0,0.26,20.0,98.8474406185771,98.80075838376344,98.76590437596394,98.71805291739862,98.65959406804133,98.58137581661427,98.4327945954659,98.26637797301281,97.97592776699794,97.41330622819919,99.38
10.0,0.27,20.0,98.74045693473656,98.66360397455156,98.59191707677378,98.51165705495467,98.38629397703451,98.27115192394808,98.06118079738724,97.91739244139642,97.72575994608708,97.39134426759333,99.36
10.0,0.28,20.0,98.75508190119062,98.69903079775405,98.64038858277696,98.55761402057043,98.46076179764358,98.35545244176474,98.17104714253995,97.95537610795651,97.71390877125043,97.21876831420253,99.37
10.0,0.29,20.0,98.75704084183013,98.7141121254331,98.6609948021519,98.61453891557547,98.53746067524493,98.46283991360954,98.34389036398913,98.09000882849192,97.39887241149988,96.72428494328611,99.34
10.0,0.2,20.0,99.05809230811407,99.02688805225684,98.98226544109254,98.93381634560896,98.86777468600579,98.79310593877291,98.73499050142816,98.64806478203703,98.55173734221725,98.08564927634013,99.47
10.0,0.31,20.0,98.62791840620666,98.54483837863951,98.48260952828468,98.41518432380789,98.30622723662759,98.19748670821748,98.0018776473708,97.90680288855563,97.70427817447181,97.38112434161167,99.34
10.0,0.32,20.0,98.56702786881546,98.5191129260183,98.43243169496279,98.34790904890795,98.26395708807202,98.19144148613566,98.06713491670271,97.81231866050692,97.37314160457989,97.02495554530375,99.31
10.0,0.33,20.0,98.4180754234693,98.33077560763019,98.2508274635866,98.09541312645202,97.98333977987798,97.86255072206185,97.75796411386239,97.62474544448702,97.3749680621853,96.53261182147972,99.26
10.0,0.34,20.0,98.5929775081647,98.50816804678662,98.4013364801667,98.29936668609155,98.17887929971465,98.06688950468323,97.94402367968264,97.59669780062609,97.2158772382364,96.91676732991786,99.3
10.0,0.35,20.0,98.23074119466952,98.16510232986337,98.0763486925899,97.96652933589768,97.79656627329648,97.55261599068712,97.2795614097726,97.01805831167778,96.73107187179369,95.99190917825331,99.17
10.0,0.36,20.0,98.39228067043885,98.32176160981219,98.253696708866,98.13076194661478,98.04214913088413,97.87056380501517,97.72631202394446,97.48328985102312,97.27264398377646,96.98085000524917,99.24
