delay_mean,trace_mean,avg_precision
70,15,0.94375
70,15,0.9375
70,15,0.93125
70,16,0.93125
70,16,0.95
70,16,0.94375
70,16,0.9375
70,16,0.9375
70,17,0.95
70,17,0.95
70,17,0.9375
70,17,0.95625
70,17,0.9375
70,18,0.94375
70,18,0.94375
70,18,0.95625
70,18,0.94375
70,18,0.94375
70,19,0.95
70,19,0.94375
70,19,0.95625
70,19,0.95625
70,19,0.95625
70,20,0.94375
70,20,0.94375
70,20,0.94375
70,20,0.95
70,20,0.95
80,10,0.91875
80,10,0.9125
80,10,0.9125
80,10,0.91875
80,10,0.925
80,11,0.91875
80,11,0.93125
80,11,0.93125
80,11,0.91875
80,11,0.93125
80,12,0.9
80,12,0.925
80,12,0.91875
80,12,0.9375
80,12,0.925
80,13,0.93125
80,13,0.93125
80,13,0.93125
80,13,0.9375
80,13,0.91875
80,14,0.91875
80,14,0.94375
80,14,0.94375
80,14,0.925
80,14,0.925
80,15,0.93125
80,15,0.9375
80,15,0.9375
80,15,0.925
80,15,0.95625
80,16,0.95
80,16,0.94375
80,16,0.9375
80,16,0.95
80,16,0.94375
80,17,0.9375
80,17,0.95
80,17,0.93125
80,17,0.95
80,17,0.9375
