delay_mean,loss_mean,control_interval,sla(90%),sla(91%),sla(92%),sla(93%),sla(94%),sla(95%),sla(96%),sla(97%),sla(98%),sla(99%),avg_precision
1,0.01,20,99.50466855922025,99.49943922684265,99.49087000514544,99.48412766765003,99.4768516078196,99.46817524567285,99.45673022897316,99.44646082745848,99.42202285720057,99.35287618472242,99.65
1,0.02,20,99.49842879849172,99.49090771599765,99.484318545704,99.47650713634351,99.46417415092718,99.45052597465464,99.43102051597795,99.3879670890085,99.27886231010184,99.12764750921338,99.65
1,0.03,20,99.48753651717023,99.47918817067861,99.46679495579001,99.45642869915204,99.44271733646768,99.42014220160777,99.3868883536473,99.32331405147455,99.15447753664776,99.00392770543378,99.64
1,0.04,20,99.46778137200366,99.45908027150509,99.44693315408664,99.43272654765084,99.41665704021756,99.37521699667737,99.33212867781702,99.20752881310763,99.11309363657871,99.02193453502927,99.63
1,0.05,20,99.45161840326165,99.43981519970268,99.4163238203803,99.38657123543014,99.36250288277758,99.31008932677037,99.23356136764058,99.1644169814056,99.08207796604134,99.01769009280773,99.63
1,0.06,20,99.42929331162973,99.41597313530687,99.39085823127931,99.37133232426264,99.32836846786489,99.28356045114307,99.17995837611022,99.10518133255984,99.00749378003277,98.85096023880354,99.61
1,0.07,20,99.44040961802975,99.42256545061275,99.4076263618352,99.37908375421353,99.33620928973973,99.27965593390226,99.17440946301346,99.09652435432787,99.02820563592545,98.94125427947975,99.62
1,0.08,20,99.39618389610781,99.37142755809316,99.33952837505919,99.30540160554436,99.24379830276534,99.16882231340156,99.1088581986223,99.06643135927388,99.00738109389744,98.93847921631671,99.6
1,0.09,20,99.29249351558214,99.2613194678219,99.22342834408173,99.18065241700613,99.13653093075467,99.08744435517485,99.04020847374495,98.98876937597657,98.93036146644619,98.67998490710715,99.59
1,0.1,20,99.39252241329494,99.37325035609321,99.34871024532127,99.31434918290792,99.26635976680022,99.18878066327328,99.11429675634845,99.06262764372265,99.01767674302674,98.96280332645624,99.61
1,0.11,20,99.33855729469228,99.31228915064747,99.276227765946,99.23686613473346,99.18377661118387,99.11339310945868,99.06678460459999,99.0145832597596,98.96004617353518,98.87954952280789,99.6
1,0.12,20,99.25265798190736,99.21055892800891,99.17420915814075,99.12731871330456,99.06452997869144,99.01843599038159,98.9543835378331,98.88420311139481,98.6558136358914,98.39908533653825,99.58
1,0.13,20,99.34658649587875,99.31312401618784,99.27023841081879,99.2033145856858,99.15334853557586,99.11160481111374,99.06554287734525,99.01758820140194,98.94386382105033,98.60984287853324,99.6
1,0.14,20,99.25907834427844,99.22206064760564,99.17760227347453,99.14325330624318,99.1019612568562,99.0636191850055,99.02590018889877,98.96759683768907,98.87352602558657,98.54001396472054,99.57
1,0.15,20,99.18026145755802,99.14589606811472,99.10541289673324,99.06926874759772,99.03437538034909,99.00443227199936,98.95584432697103,98.90028315823918,98.76845789619317,98.36483681113609,99.58
1,0.16,20,99.12798319822673,99.09792546194319,99.06124864366922,99.02394184890491,98.97456794156933,98.92880444608929,98.85365729073895,98.6802115765437,98.50360617539043,98.29863099711203,99.54
1,0.17,20,99.15690306324755,99.13028401249598,99.09470384090972,99.06048239001635,99.03438631016013,99.00362825092618,98.95374777730571,98.8290880119184,98.46470675917224,98.07567126314021,99.54
1,0.18,20,99.10947131445394,99.08410064852629,99.05217502953195,99.0028590954892,98.96607129062605,98.92743294499451,98.84559156709446,98.7159561895438,98.43347946670436,98.1228235781761,99.53
1,0.19,20,99.14115436273804,99.10332830817838,99.0770028236911,99.0283781510103,98.98653353379602,98.93766804519393,98.8725216435959,98.71994425693258,98.55677394352267,98.41818997796935,99.56
1,0.2,20,99.11550917193745,99.08241511627776,99.05079390689065,99.0198625715208,98.98673932701726,98.93877528429537,98.87802003708944,98.75720311126855,98.50443550472879,98.3385118753003,99.54
