,time,speed
0,0.006,0.0059919174276549456
1,0.022,0.7343711233961732
2,0.043,9.168618006188948
3,0.058,23.936906506609848
4,0.069,43.17335526467438
5,0.079,67.66232660206283
6,0.09,105.6778035169963
7,0.105,170.40360081156243
8,0.115,228.2360016074482
9,0.124,273.1959777509665
10,0.136,358.6530005005623
11,0.151,483.03779967921275
12,0.16,566.1710861546549
13,0.174,717.4723956280302
14,0.19,903.1049101946817
15,0.2,1024.5357452672822
16,0.207,1128.5892265697555
17,0.214,1206.9255286730113
18,0.228,1416.6952398556082
19,0.239,1585.2174038561525
20,0.276,2209.002162044515
21,0.289,2450.338297507728
22,0.297,2610.210483472241
23,0.319,2967.0387927137585
24,0.342,3303.642037629091
25,0.36,3543.191135025582
26,0.379,3764.534931582629
27,0.389,3876.6900183713
28,0.396,3950.42188625908
29,0.403,4018.510558312979
30,0.409,4078.4779006052295
31,0.416,4141.876907642827
32,0.424,4211.247766198003
33,0.432,4274.251403126312
34,0.444,4354.262118247348
35,0.474,4509.538335688755
36,0.491,4581.883658094261
37,0.526,4696.948930563968
38,0.565,4778.786197931982
39,0.574,4793.783099095179
40,0.586,4809.821386374368
41,0.593,4819.626473656787
42,0.6,4828.193401320239
43,0.609,4836.846143099444
44,0.622,4847.895017372308
45,0.651,4864.03383324635
46,0.658,4867.023560036308
47,0.67,4870.662341088025
48,0.697,4874.866878805634
49,0.724,4874.9659167100635
50,0.757,4871.2213460681705
51,0.781,4866.76259916786
52,0.81,4860.201399458105
53,0.848,4850.2076413205705
54,0.861,4846.326966928356
55,0.878,4841.641834847617
56,0.914,4831.554863851254
57,0.934,4826.176027542181
58,0.943,4823.478353048026
59,0.957,4819.62112774636
60,0.969,4816.354486271868
61,0.975,4814.753795031768
62,0.99,4811.005553844294
63,1.002,4807.986696190371
64,1.021,4803.502593563004
65,1.031,4801.282941392701
66,1.041,4799.19479553887
67,1.067,4793.936114192605
68,1.084,4790.7850947432935
69,1.093,4789.079138952913
70,1.109,4786.384860636975
71,1.117,4784.9005247833975
72,1.125,4783.563391424219
73,1.139,4781.362322773197
74,1.227,4770.500290316297
75,1.237,4769.40850913257
76,1.252,4767.92792226764
77,1.261,4767.022114760692
78,1.293,4764.340423790487
79,1.321,4762.243050060747
80,1.335,4761.302757036737
81,1.37,4759.244325903966
82,1.376,4758.859594734728
83,1.39,4758.128329770333
84,1.403,4757.4675470773045
85,1.417,4756.822067156123
86,1.458,4755.233378220719
87,1.505,4753.743398495053
88,1.518,4753.38965021563
89,1.532,4753.036044087261
90,1.548,4752.647299285904
91,1.557,4752.448582390976
92,1.57,4752.180382144727
93,1.58,4751.97410322868
94,1.59,4751.770935353986
95,1.602,4751.571748551675
96,1.613,4751.374896453755
97,1.619,4751.269486294791
98,1.629,4751.120845992313
99,1.643,4750.9385735465585
100,1.65,4750.83940995213
101,1.689,4750.402227099436
102,1.706,4750.243184263127
103,1.747,4749.905295054051
104,1.803,4749.558038947528
105,1.864,4749.288556926951
106,1.877,4749.238636752581
107,1.884,4749.210681461212
108,1.899,4749.162044388997
109,1.913,4749.118969936762
110,1.934,4749.065382077196
111,1.945,4749.037353936589
112,1.953,4749.01769947986
113,1.966,4748.989186398327
114,1.975,4748.970277232031
115,1.984,4748.953026576027
116,1.994,4748.935699786002
117,2.003,4748.919666057572
118,2.015,4748.900449271483
119,2.033,4748.876681013705
120,2.044,4748.86227153857
121,2.056,4748.848159702297
122,2.072,4748.830577273565
123,2.084,4748.81895331794
124,2.093,4748.8110769841605
125,2.101,4748.80362469325
126,2.109,4748.797074366522
127,2.117,4748.790497495205
128,2.13,4748.781612071644
129,2.142,4748.773810737401
130,2.157,4748.764348198123
131,2.169,4748.757808957358
132,2.191,4748.74672654705
133,2.199,4748.743073698522
134,2.212,4748.737274565368
135,2.225,4748.73203964304
136,2.252,4748.72313748027
137,2.272,4748.717224184534
138,2.29,4748.712864217517
139,2.304,4748.709563742322
140,2.317,4748.706794497478
141,2.334,4748.703545342732
142,2.357,4748.699975946234
143,2.372,4748.69774612692
144,2.399,4748.694520583347
145,2.417,4748.692580613847
146,2.436,4748.690901440743
147,2.445,4748.690131573691
148,2.456,4748.689287408972
149,2.468,4748.688479208147
150,2.48,4748.687681299674
151,2.488,4748.687192917567
152,2.497,4748.68666778876
153,2.507,4748.686133678032
154,2.517,4748.6856623503345
155,2.523,4748.685385871337
156,2.53,4748.68507146591
157,2.54,4748.68465666653
158,2.549,4748.684307729846
159,2.561,4748.6839054111515
160,2.568,4748.683695273783
161,2.583,4748.683271436379
162,2.596,4748.68292261019
163,2.618,4748.682467168971
164,2.629,4748.682243303104
165,2.659,4748.681800045548
166,2.673,4748.681623118135
167,2.694,4748.681389624238
168,2.707,4748.6812659646685
169,2.715,4748.681190624572
170,2.725,4748.6811130337
171,2.751,4748.680943612034
172,2.777,4748.68081326526
173,2.795,4748.680737437312
174,2.809,4748.6806895916225
175,2.826,4748.680640343829
176,2.835,4748.680619494573
177,2.842,4748.680601738707
178,2.848,4748.680588691796
179,2.856,4748.680574301101
180,2.872,4748.680550301482
181,2.906,4748.680515319211
182,2.921,4748.680504494681
183,2.933,4748.680498148391
184,2.941,4748.680494853308
185,2.949,4748.680492213628
186,2.961,4748.680489686185
187,2.974,4748.680488113233
188,2.997,4748.68048807852
189,3.029,4748.68049257623
190,3.071,4748.680502893859
191,3.085,4748.680507334386
192,3.163,4748.680534719046
193,3.178,4748.680540298805
194,3.207,4748.680550567108
195,3.218,4748.680554447953
196,3.287,4748.680576631805
197,3.301,4748.680581095903
198,3.309,4748.680583279557
199,3.332,4748.68058957979
200,3.35,4748.680594180804
201,3.366,4748.680598028986
202,3.378,4748.680600958743
203,3.387,4748.680603139885
204,3.398,4748.6806055766065
205,3.408,4748.680607753017
206,3.419,4748.6806100265985
207,3.426,4748.680611378421
208,3.443,4748.680614417015
209,3.464,4748.680617951095
210,3.482,4748.680620745936
211,3.492,4748.680622156723
212,3.502,4748.680623727361
213,3.574,4748.680632003691
214,3.587,4748.680633273253
215,3.614,4748.680635656277
216,3.627,4748.680636768988
217,3.645,4748.680638115689
218,3.67,4748.680639802388
219,3.681,4748.680640542466
220,3.697,4748.680641490871
221,3.705,4748.680641985365
222,3.741,4748.68064366426
223,3.748,4748.680644012536
224,3.759,4748.680644452505
225,3.77,4748.680644920875
226,3.812,4748.680646313821
227,3.826,4748.680646717631
228,3.839,4748.680647079908
229,3.849,4748.680647348823
230,3.868,4748.680647783822
231,3.875,4748.68064794099
232,3.885,4748.6806481543135
233,3.896,4748.680648378893
234,3.918,4748.680648758284
235,3.939,4748.680649082798
236,3.963,4748.680649401291
237,3.979,4748.680649605315
238,4.0,4748.680649831486
239,4.013,4748.680649954517
240,4.023,4748.680650049347
241,4.037,4748.680650169112
242,4.048,4748.680650263851
243,4.074,4748.6806504401275
244,4.086,4748.680650521696
245,4.096,4748.680650586423
246,4.111,4748.680650669398
247,4.131,4748.680650765238
248,4.163,4748.680650903957
249,4.192,4748.68065100856
250,4.21,4748.680651064546
251,4.228,4748.680651115158
252,4.254,4748.680651177715
253,4.27,4748.680651211884
254,4.286,4748.680651244902
255,4.311,4748.680651286672
256,4.342,4748.680651331947
257,4.36,4748.68065135462
258,4.387,4748.680651382186
259,4.418,4748.680651409336
260,4.427,4748.680651416569
261,4.466,4748.680651441532
262,4.486,4748.6806514523105
263,4.495,4748.680651457116
264,4.51,4748.68065146421
265,4.523,4748.680651469725
266,4.529,4748.680651472359
267,4.561,4748.6806514817545
268,4.645,4748.680651498287
269,4.663,4748.680651501556
270,4.691,4748.680651505986
271,4.703,4748.6806515077105
272,4.713,4748.680651508998
273,4.722,4748.680651510085
274,4.73,4748.680651510984
275,4.745,4748.680651512474
276,4.753,4748.680651513271
277,4.764,4748.680651514266
278,4.771,4748.680651514913
279,4.801,4748.680651516919
280,4.811,4748.680651517555
281,4.818,4748.680651517999
282,4.837,4748.680651518926
283,4.846,4748.680651519382
284,4.872,4748.680651520342
285,4.879,4748.680651520601
286,4.889,4748.680651520923
287,4.896,4748.680651521153
288,4.911,4748.6806515215385
289,4.917,4748.680651521698
290,4.934,4748.680651522052
291,4.944,4748.680651522241
292,4.955,4748.680651522444
293,4.977,4748.680651522743
294,4.99,4748.680651522889
295,5.003,4748.680651523029
296,5.038,4748.6806515232975
297,5.059,4748.680651523431
298,5.076,4748.680651523512
299,5.085,4748.680651523544
300,5.098,4748.680651523591
301,5.109,4748.6806515236285
302,5.126,4748.680651523684
303,5.139,4748.680651523729
304,5.146,4748.680651523757
305,5.161,4748.680651523767
306,5.195,4748.680651523767
307,5.205,4748.680651523767
308,5.239,4748.680651523767
309,5.254,4748.680651523767
310,5.285,4748.680651523767
311,5.302,4748.680651523767
312,5.345,4748.680651523767
313,5.36,4748.680651523767
314,5.367,4748.680651523767
315,5.378,4748.680651523767
316,5.388,4748.680651523767
317,5.403,4748.680651523767
318,5.413,4748.680651523767
319,5.43,4748.680651523767
320,5.443,4748.680651523767
321,5.45,4748.680651523767
322,5.467,4748.680651523767
323,5.477,4748.680651523767
324,5.495,4748.680651523767
325,5.504,4748.680651523767
326,5.513,4748.680651523767
327,5.521,4748.680651523767
328,5.529,4748.680651523767
329,5.548,4748.680651523767
330,5.554,4748.680651523767
331,5.562,4748.680651523767
332,5.595,4748.680651523767
333,5.616,4748.680651523767
334,5.631,4748.680651523767
335,5.645,4748.680651523767
336,5.669,4748.680651523767
337,5.688,4748.680651523767
338,5.705,4748.680651523767
339,5.711,4748.680651523767
340,5.734,4748.680651523767
341,5.77,4748.680651523767
342,5.781,4748.680651523767
343,5.802,4748.680651523767
344,5.815,4748.680651523767
345,5.834,4748.680651523767
346,5.883,4748.680651523767
347,5.902,4748.680651523767
348,5.911,4748.680651523767
349,5.924,4748.680651523767
350,5.95,4748.680651523767
351,5.968,4748.680651523767
352,5.983,4748.680651523767
353,5.996,4748.680651523767
354,6.015,4748.680651523767
355,6.047,4748.680651523767
356,6.059,4748.680651523767
357,6.07,4748.680651523767
358,6.086,4748.680651523767
359,6.097,4748.680651523767
360,6.105,4748.680651523767
361,6.129,4748.680651523767
362,6.147,4748.680651523767
363,6.172,4748.680651523767
364,6.197,4748.680651523767
365,6.281,4748.680651523767
366,6.29,4748.680651523767
367,6.3,4748.680651523767
368,6.32,4748.680651523767
369,6.333,4748.680651523767
370,6.347,4748.680651523767
371,6.357,4748.680651523767
372,6.374,4748.680651523767
373,6.381,4748.680651523767
374,6.401,4748.680651523767
375,6.427,4748.680651523767
376,6.44,4748.680651523767
377,6.488,4748.680651523767
378,6.511,4748.680651523767
379,6.527,4748.680651523767
380,6.545,4748.680651523767
381,6.569,4748.680651523767
382,6.581,4748.680651523767
383,6.593,4748.680651523767
384,6.61,4748.680651523767
385,6.627,4748.680651523767
386,6.637,4748.680651523767
387,6.65,4748.680651523767
388,6.674,4748.680651523767
389,6.703,4748.680651523767
390,6.722,4748.680651523767
391,6.732,4748.680651523767
392,6.764,4748.680651523767
393,6.787,4748.680651523767
394,6.804,4748.680651523767
395,6.838,4748.680651523767
396,6.857,4748.680651523767
397,6.866,4748.680651523767
398,6.879,4748.680651523767
399,6.892,4748.680651523767
400,6.906,4748.680651523767
401,6.921,4748.680651523767
402,6.938,4748.680651523767
403,6.945,4748.680651523767
404,6.952,4748.680651523767
405,6.966,4748.680651523767
406,6.975,4748.680651523767
407,6.985,4748.680651523767
408,7.012,4748.680651523767
409,7.032,4748.680651523767
410,7.052,4748.680651523767
411,7.073,4748.680651523767
412,7.085,4748.680651523767
413,7.103,4748.680651523767
414,7.114,4748.680651523767
415,7.127,4748.680651523767
416,7.139,4748.680651523767
417,7.149,4748.680651523767
418,7.159,4748.680651523767
419,7.176,4748.680651523767
420,7.184,4748.680651523767
421,7.206,4748.680651523767
422,7.226,4748.680651523767
423,7.243,4748.680651523767
424,7.275,4748.680651523767
425,7.29,4748.680651523767
426,7.313,4748.680651523767
427,7.319,4748.680651523767
428,7.357,4748.680651523767
429,7.393,4748.680651523767
430,7.425,4748.680651523767
431,7.447,4748.680651523767
432,7.465,4748.680651523767
433,7.474,4748.680651523767
434,7.485,4748.680651523767
435,7.52,4748.680651523767
436,7.536,4748.680651523767
437,7.554,4748.680651523767
438,7.565,4748.680651523767
439,7.573,4748.680651523767
440,7.597,4748.680651523767
441,7.61,4748.680651523767
442,7.635,4748.680651523767
443,7.65,4748.680651523767
444,7.679,4748.680651523767
445,7.707,4748.680651523767
446,7.779,4748.680651523767
