,time,speed
0,0.019,0.010651246274355588
1,0.038,0.4399655902126428
2,0.06,5.734870561898483
3,0.08,21.437888019714766
4,0.127,115.03426766234426
5,0.147,179.50844229060115
6,0.165,265.34381954766826
7,0.182,375.4543877430656
8,0.206,569.229735605572
9,0.224,734.9151252661115
10,0.239,902.5482041073491
11,0.265,1157.3027898725745
12,0.289,1453.182536988425
13,0.317,1740.4115011915237
14,0.348,2144.7381087299377
15,0.384,2557.1985280646254
16,0.403,2761.39346159359
17,0.436,2957.7176705369984
18,0.469,3031.6397030214944
19,0.513,3020.0149820596216
20,0.535,2986.3934124620146
21,0.553,2953.141044664208
22,0.572,2930.1583409375257
23,0.606,2914.4070677580207
24,0.642,2925.006190672513
25,0.682,2963.813933092014
26,0.722,3017.396770143533
27,0.753,3012.7185735009743
28,0.825,2911.3554530783854
29,0.862,2863.234569833342
30,0.886,2849.733544000035
31,0.909,2851.5011223496176
32,0.928,2861.2762003140324
33,0.982,2924.2581335916784
34,1.005,2963.49690992568
35,1.025,2995.6147010477725
36,1.055,2995.930810859936
37,1.08,2974.589398389891
38,1.1,2968.0228457147414
39,1.12,2970.637530641246
40,1.138,2980.494547995148
41,1.187,3011.5283192298234
42,1.228,2979.83312130116
43,1.263,2916.7563008895136
44,1.294,2883.3424041617327
45,1.318,2874.072192225273
46,1.34,2877.634527024966
47,1.365,2894.282331915397
48,1.382,2913.608499321462
49,1.447,3017.3023707578664
50,1.472,3052.3135385193673
51,1.502,3043.3146940525685
52,1.52,3019.0966211535147
53,1.552,2967.0966857046214
54,1.59,2925.807661028308
55,1.617,2916.886609851973
56,1.64,2923.272516669283
57,1.663,2940.6420718174822
58,1.683,2964.923885156274
59,1.707,2988.5531694750925
60,1.744,2969.9940209522892
61,1.781,2933.9588519020167
62,1.8,2927.5683824924968
63,1.831,2936.3228268025173
64,1.864,2966.9148160726286
65,1.902,3002.0943397496576
66,1.921,2992.5000676329328
67,1.943,2969.230044808319
68,1.965,2956.2394330983975
69,1.992,2956.173951714152
70,2.014,2967.3936707121493
71,2.041,2993.6683845670423
72,2.059,3011.108905497124
73,2.079,3007.6274729362435
74,2.104,2984.67257749992
75,2.147,2975.989686857075
76,2.196,3008.184857049753
77,2.214,3023.837193079982
78,2.258,2991.845547396676
79,2.28,2953.6545405531724
80,2.302,2928.6826640702025
81,2.351,2914.9199940877716
82,2.369,2923.638199871513
83,2.387,2938.6229178487774
84,2.406,2961.6396406546924
85,2.427,2981.9426660210434
86,2.47,2952.3734052366012
87,2.489,2922.8601491584805
88,2.514,2897.9690745783255
89,2.538,2889.710870535057
90,2.571,2900.041943251302
91,2.59,2916.796816175047
92,2.619,2954.456406155552
93,2.64,2979.3236115893083
94,2.658,2976.8067183620915
95,2.676,2962.5513884079164
96,2.698,2955.8067750684904
97,2.718,2960.599182012921
98,2.737,2974.135737647157
99,2.764,2994.545762233914
100,2.792,2980.3380548538253
101,2.826,2939.948048574228
102,2.854,2928.3541233256324
103,2.88,2934.0858552532004
104,2.897,2946.5229294830833
105,2.939,2992.9164461678874
106,2.96,3017.774756118831
107,2.98,3015.320926118847
108,3.005,2984.124705827745
109,3.035,2938.4869545870465
110,3.08,2916.777658907497
111,3.104,2924.9633613936353
112,3.12,2938.4733669953152
113,3.143,2965.1566554298047
114,3.171,2990.1439273458714
115,3.212,2953.5694732553966
116,3.233,2918.2180105475977
117,3.265,2892.176509449944
118,3.308,2898.5623383526986
119,3.334,2921.6846193566635
120,3.36,2955.9009009446627
121,3.38,2980.352330796782
122,3.407,2976.1472658866705
123,3.424,2959.5235694576427
124,3.448,2949.091359064657
125,3.477,2955.0302833786227
126,3.515,2985.332847117556
127,3.537,3007.8633063451457
128,3.56,3000.09345508991
129,3.58,2979.226092511934
130,3.604,2966.612022617252
