,time,speed,current
0,0.033,0.8273405252591066,-14.192007836842915
1,0.066,3.7341045813686033,-3.162831592631252
2,0.088,4.256550945601094,16.804679785767
3,0.109,10.886054320804845,37.449066734276634
4,0.144,44.15807352954293,65.8082690053273
5,0.164,91.4036864836584,84.72732842163038
6,0.192,194.8426524572739,108.9608816900218
7,0.235,428.34914041284156,139.65254879347032
8,0.252,506.9477979906223,146.8302759617113
9,0.274,711.2542587736981,161.52632536313143
10,0.302,1018.694548747707,176.57838666522173
11,0.322,1273.800804682501,184.73461491341234
12,0.359,1740.7273633673788,192.3371581401328
13,0.379,2013.6268617115084,193.15489767540893
14,0.404,2331.556682894016,191.0689043962506
15,0.431,2640.518601302007,185.9581160904395
16,0.449,2834.682203557778,167.67836362091626
17,0.468,2964.645658466101,145.22598306814263
18,0.483,3030.8413555607303,128.32983249363716
19,0.506,3075.003052178968,107.34477161467866
20,0.534,3074.077949578723,86.89728245911668
21,0.562,3035.8218869422326,70.35622665726622
22,0.602,2974.0026506566937,81.3611896359659
23,0.623,2956.9665638329916,89.50019586154954
24,0.682,2966.9228350353783,104.70232395310967
25,0.701,2985.9597055017,108.86090602460501
26,0.72,3004.6105944601745,100.8317297211144
27,0.745,2997.2362900655094,84.11303522583671
28,0.771,2967.6561289068177,83.07176816439592
29,0.789,2954.672661055358,89.8391532255531
30,0.814,2951.4673508495616,97.42156437022321
31,0.833,2958.9808402821795,102.57023766392795
32,0.859,2980.60915077347,108.22187439603195
33,0.882,2995.39075337877,98.90264472257839
34,0.923,2966.7420600898845,74.2218026307946
35,0.962,2900.0668638570564,73.12528386518915
36,0.984,2872.428283495359,83.50173423826006
37,1.014,2861.205461347611,94.36632796925112
38,1.038,2868.7520595138526,101.30906856385022
39,1.067,2895.12868379555,108.38145810881564
40,1.097,2939.0938999716786,114.10733798464337
41,1.156,2986.047716464346,87.16611889821627
42,1.177,2960.181737625116,73.7092528418746
43,1.2,2925.320772430902,78.07614476847064
44,1.232,2901.037519349515,89.96706516891305
45,1.26,2900.7164405484955,98.49856619426666
46,1.288,2918.788436482204,105.80161073496396
47,1.309,2942.8209075312275,110.27001818721517
48,1.334,2978.6691967763472,112.3874215043496
49,1.353,3001.0674906672857,100.62940506620475
50,1.383,2988.172310018838,80.78611539952931
