,speed
0,0.0
1,1.5633026294369974
2,86.97820766408395
3,352.94066215496645
4,827.4159804754879
5,1527.3316551970006
6,2736.64503861262
7,3394.9361777867093
8,4114.37177729572
9,4305.124019917327
10,4376.9638640045605
11,4360.378905924718
12,4299.834209063488
13,4208.6103762674475
14,4009.6010106273266
15,3832.5750693689843
16,3785.9357524609163
17,3996.7431109061445
18,4166.728127119851
19,4163.878989282595
20,4032.0620939006308
21,4000.640152718572
22,3994.916506996853
23,4091.7091262632325
24,4209.243132692578
25,4039.1129752351194
26,3826.2125861765344
27,3909.2740175812837
28,3983.7447957738095
29,3933.578907633482
30,3907.0218245774004
31,4031.0385730765634
32,4480.01819487783
33,4501.68902902728
34,4476.5970490660175
35,4381.604942199751
36,4239.856560366082
37,4186.241086348234
38,4149.751746526367
39,4229.722463809841
40,4371.074768968333
41,4365.737091533884
42,4240.728721254884
43,4039.7678361821345
44,3950.4873198894993
45,3987.1697413394986
46,4145.076518930531
47,4076.648470182743
48,4017.438861594187
49,4144.582171401058
50,4425.519885034979
51,4424.914898259268
52,4368.539174928303
53,4217.141592234879
54,4189.075279917018
55,4527.2557170260825
56,4563.763638466024
57,4499.734856393671
58,4343.312694947798
59,4153.927866439664
60,4026.3764848829846
61,4047.353482753939
62,4116.676530786694
63,4066.3293482882286
64,4025.2081300760237
65,4051.849539950945
66,4143.090554430223
67,4043.308090427562
68,3643.6342333014923
69,3864.0357356734785
70,4033.457178956018
71,4134.939131530587
72,4071.139301849034
73,4095.0848144614843
74,4180.716241428377
75,4129.614650642803
76,3963.2920818567286
77,3880.241830949363
78,3925.715567036928
79,3979.215432321019
80,4005.265085135315
81,3973.2606971346268
82,3951.4742503828707
83,4608.063136711567
84,4869.534726384912
85,4894.337620065063
86,4827.3550690924285
87,4732.438370748966
88,4549.169137646465
89,4333.130858310483
90,4197.899351320707
91,4149.758214945048
92,4057.0778419821254
93,4291.092759765219
94,4366.578248706493
95,4437.147609523298
96,4400.890949882888
97,4356.68447690086
98,4208.796156012299
99,4101.590686154193
100,4214.261839189762
101,4313.686252502614
102,4348.181247302588
103,4302.949622073692
104,4220.126535792165
105,4110.07343845573
106,4036.1447390623125
107,4432.802807805046
108,4728.078538041668
109,4780.915197167376
110,4741.352271023621
111,4638.1700171856355
112,4546.019817962772
113,4322.411379528842
114,4164.947825043241
115,4087.4649867151866
116,4038.307383364233
117,4021.9459337125045
118,4159.680765004994
119,4471.585780321319
120,4490.392858710118
121,4484.696044121738
122,4369.568739408097
123,4273.936764297677
124,4009.351918348512
125,3905.669938525962
126,3899.8361361923153
127,3932.4122280115084
128,4043.295791195622
129,4274.11104788146
130,4266.922368464707
131,4136.552357936345
132,4079.89036668779
133,4268.333154133219
134,4492.432875072911
135,4448.193773893007
136,4386.914231982847
137,4321.183447674282
138,4267.274258153752
139,4146.431381575048
140,3769.1768090597743
141,3751.5721087252705
142,3790.2371434445463
143,4213.902489364902
144,4427.859081106906
145,4489.453798469344
146,4346.525966148394
147,4151.978410986912
148,4074.6041895665016
149,4051.885135968707
150,4111.385514585681
151,4262.716550687863
152,4258.454090768285
153,4175.758869941163
154,4080.01509534916
155,4020.1599208091707
156,4078.8937286792107
157,4174.199407384056
158,4167.686967164906
159,4075.8583056356583
160,4024.9056238565877
161,4193.820847883906
162,4443.014156596316
163,4454.788393651173
