,speed
0,0.0
1,25.65321009531338
2,477.5238403314985
3,1290.619456365272
4,1290.619456365272
5,1290.619456365272
6,1290.619456365272
7,1698.7728813898268
8,2772.5536591681384
9,4547.7675673785825
10,5007.977692789732
11,5012.199398935245
12,5012.199398935245
13,5012.199398935245
14,5012.333120759892
15,4909.252524902547
16,4573.596647246252
17,4412.569420212556
18,4381.675470356815
19,4381.675470356815
20,4381.675470356815
21,4344.364129086896
22,4205.369345719544
23,4095.4238674826765
24,4064.440558128328
25,4277.00947546362
26,4277.00947546362
27,4277.00947546362
28,4277.00947546362
29,4277.998746645457
30,4258.191178709255
31,4176.64368846082
32,4117.697939578038
33,4153.495293682341
34,4233.7054406961815
35,4233.7054406961815
36,4233.7054406961815
37,4233.7054406961815
38,4233.7054406961815
39,4220.059166232902
40,3893.1770748333224
41,3813.6905224852503
42,3809.1323840535374
43,3809.1323840535374
44,3809.1323840535374
45,3809.1323840535374
46,3809.1323840535374
47,4053.9186155598704
48,4204.560942661531
49,4240.702234024609
50,4233.707848312897
51,4139.019821720659
52,4129.761777308251
53,4129.761777308251
54,4129.761777308251
55,4129.761777308251
56,4088.831603531324
57,4003.327766479479
58,4462.689854813955
59,4682.6229639172525
60,4682.6229639172525
61,4682.6229639172525
62,4682.6229639172525
63,4690.127083032789
64,4786.396103739686
65,4572.888813088181
66,4420.679406938371
67,4358.686618979305
68,4358.686618979305
69,4358.686618979305
70,4358.686618979305
71,4358.686618979305
72,4296.14418004344
73,3980.4778669251423
74,3765.6700566019263
75,3771.947166532917
76,3771.947166532917
77,3771.947166532917
78,3771.947166532917
79,3771.947166532917
80,3801.853218866456
81,3971.803832154832
82,4211.584180505508
83,4176.542597875655
84,4095.0760531675924
85,4095.0760531675924
86,4095.0760531675924
87,4095.0760531675924
88,4095.0760531675924
89,4055.59964373309
90,3975.529839268921
91,4048.380493748672
92,4131.049983604595
93,4137.060490172693
94,4087.5329991520484
95,4087.5329991520484
96,4087.5329991520484
97,4087.5329991520484
98,4087.5329991520484
99,4050.316303670902
100,3994.130525698333
101,4126.013201268748
102,4239.098987657825
103,4207.1515695725475
104,4207.1515695725475
105,4207.1515695725475
106,4207.1515695725475
107,4207.1515695725475
108,4193.244039287055
109,4078.069169390532
110,4019.9436142887776
111,4037.711067606264
112,4067.197947530749
113,4003.09583227917
114,4003.09583227917
115,4003.09583227917
116,4003.09583227917
117,4003.09583227917
118,3986.1709377021107
119,3947.307650664748
120,4144.180551436484
121,4596.7025734361805
122,4614.556408730341
123,4614.556408730341
124,4614.556408730341
125,4614.556408730341
126,4615.956920767279
127,4578.587432883669
128,4487.236968116207
129,4400.969539786567
130,4290.630358580335
131,4152.411476520811
132,4151.217242004431
133,4151.217242004431
134,4151.217242004431
135,4151.217242004431
136,4147.267621204297
137,4035.6834271017256
138,4029.0154835925077
139,4029.0154835925077
140,4029.0154835925077
141,4029.0154835925077
142,4029.0154835925077
143,4075.6418934270564
144,4139.198623621965
145,4028.4714150457903
146,3972.7197338503515
147,4027.3940543476747
148,4027.3940543476747
149,4027.3940543476747
150,4027.3940543476747
151,4027.3940543476747
152,4043.7367360407256
153,4079.27282926795
154,4073.4175498820537
155,4033.7036480250968
156,4006.872554841905
157,4229.627126703976
158,4316.519012184883
159,4316.519012184883
160,4316.519012184883
161,4316.519012184883
162,4316.519012184883
163,4379.574224182861
164,4490.401896441772
165,4302.818361934897
166,4144.805868685062
167,4144.805868685062
168,4144.805868685062
169,4144.805868685062
170,4144.805868685062
171,4120.781053318952
