,time,speed
0,0.011,1.7526969333069402
1,0.062,41.73342792817102
2,0.099,50.58399991587471
3,0.138,55.915063275368304
4,0.176,103.75201845406043
5,0.244,380.6103391921008
6,0.283,733.6934993996398
7,0.322,1203.3738947602053
8,0.361,1753.4057963088653
9,0.407,2380.7772519454743
10,0.444,2823.558779508579
11,0.487,3047.951256491977
12,0.525,3068.8776758383565
13,0.566,3006.907851865899
14,0.607,2902.2107755442926
15,0.645,2837.1306127444627
16,0.684,2823.0483951010942
17,0.728,2855.2772199406777
18,0.762,2912.4232566779365
19,0.808,2999.43799125367
20,0.846,3069.5405651858355
21,0.884,3057.2031126728266
22,0.949,2910.270675249602
23,0.986,2794.6466106165135
24,1.044,2691.925991931981
25,1.082,2689.244852388118
26,1.116,2723.413596815822
27,1.159,2797.9879289971627
28,1.199,2901.097167346771
29,1.233,2997.6387825607744
30,1.286,3002.3468487240334
31,1.355,2861.161546657025
32,1.414,2737.1624589372987
33,1.452,2700.868612524973
34,1.494,2717.8249647941357
35,1.53,2774.810162082709
36,1.568,2859.7583774629948
37,1.606,2968.3905370276557
38,1.651,3095.2137675321815
39,1.715,3060.281736751708
40,1.758,2951.583319872435
41,1.793,2842.6946233591075
42,1.83,2758.4456521568127
43,1.866,2730.9487389049063
44,1.93,2779.917501000616
45,1.969,2862.1494143370273
46,2.007,2963.9179192614597
47,2.042,3060.8699636913384
48,2.082,3060.599682735766
49,2.124,2974.243907942672
50,2.166,2855.8275273259233
51,2.202,2792.1911741331523
52,2.238,2768.3034517196215
53,2.276,2789.930463322679
54,2.33,2871.046153947841
55,2.379,2964.043773803611
56,2.425,3063.0747188268015
57,2.459,3050.7684212927325
58,2.495,2976.5328326344857
59,2.548,2838.1331230192645
60,2.586,2770.215617983818
61,2.641,2760.409262579324
62,2.689,2820.676464658334
63,2.729,2909.860323940761
64,2.774,3008.297651015043
65,2.813,2990.5237143458853
66,2.867,2882.538854934971
67,2.901,2841.045833919587
68,2.939,2838.8165362818713
69,2.973,2873.343533174038
70,3.007,2935.613414069336
71,3.045,3014.9527629306576
72,3.102,2980.1998547602834
73,3.146,2878.5418198359366
74,3.184,2826.3571629302432
75,3.229,2828.2915278946075
76,3.274,2881.585745971785
77,3.312,2958.5625930377173
78,3.347,3039.5691740084017
79,3.386,3031.8645478395047
80,3.431,2935.6809035653105
81,3.479,2796.5810863049637
82,3.541,2701.3710238658773
83,3.584,2709.3901816044995
84,3.627,2773.655108978017
85,3.665,2860.8613015933993
86,3.699,2961.913225582023
87,3.743,3066.739239128443
88,3.78,3054.1599591907575
89,3.822,2959.8667494634856
90,3.86,2861.522778656416
91,3.904,2780.914130373145
92,3.947,2752.672432716985
93,3.998,2792.4589042520943
94,4.04,2871.670150451429
95,4.084,2982.8504795794875
96,4.122,3082.339760456421
97,4.181,3050.6014948884094
98,4.219,2950.5220134680417
99,4.265,2817.545680373064
100,4.303,2753.0295713812766
101,4.344,2739.0788736571894
102,4.387,2781.8119573721674
103,4.426,2860.9302261342273
104,4.477,2982.0666731847127
105,4.514,3078.8290379785053
106,4.55,3076.653460539577
107,4.586,3001.7700273763558
108,4.62,2901.010412396248
109,4.659,2826.325500084188
110,4.7,2809.992906919348
111,4.734,2837.305474073415
112,4.774,2904.93975519928
113,4.822,3014.8714391475546
114,4.871,3120.289509641199
115,4.914,3090.8575949871674
116,4.994,2897.49736685721
117,5.033,2768.905409902874
118,5.085,2669.021792204314
119,5.13,2657.0029254703404
120,5.177,2707.476277662545
121,5.217,2789.799011382533
122,5.259,2896.992531875448
123,5.318,3026.3446588370375
124,5.374,2975.940684256041
125,5.412,2890.1166777422723
126,5.461,2826.7026685083947
127,5.498,2830.6131830363383
128,5.533,2869.7061897558447
129,5.569,2938.6426265207615
130,5.603,3014.934799176419
131,5.643,3008.138975477403
132,5.73,2891.156462917415
133,5.79,2918.7494617635084
134,5.847,2998.843205011307
135,5.891,3075.2685122825674
136,5.937,3035.485485636244
137,5.978,2940.4054643394584
138,6.022,2885.6238061726726
139,6.066,2892.571018491152
140,6.104,2935.272348080885
141,6.143,3008.697680517623
142,6.189,3092.5639781981304
143,6.228,3063.2052709864893
144,6.294,2902.384671175013
145,6.343,2754.279145998286
146,6.382,2682.6546431913707
147,6.474,2719.043437943
148,6.549,2886.664836553831
149,6.61,3045.888865686977
150,6.656,3178.1961788798485
151,6.694,3178.1659819072256
152,6.738,3084.0512537025656
153,6.775,2967.1283882010257
154,6.809,2890.4129234251895
155,6.884,2865.8649943797436
156,6.935,2922.7794514926213
157,6.971,2996.398725920136
158,7.011,3079.933323291616
159,7.067,3033.891372426639
160,7.106,2935.5044169154803
161,7.153,2872.7786508143813
162,7.211,2884.7957562524516
163,7.267,2967.0426253951437
164,7.306,3041.3421398950513
165,7.377,2965.770640404925
166,7.427,2840.601099651394
167,7.463,2776.4391555727807
168,7.517,2770.687295938011
169,7.556,2819.727422039304
170,7.592,2893.0734636655534
171,7.631,2993.6805985915416
172,7.674,3095.6496899129165
173,7.721,3068.12440058408
174,7.761,2975.4658266552497
175,7.806,2846.134816179227
176,7.841,2777.7747241108623
177,7.89,2758.914497635447
178,7.939,2806.57561937362
179,7.998,2926.6664197997343
180,8.045,3036.6588463211533
181,8.081,3040.7172387527844
182,8.124,2961.3347338188223
183,8.161,2856.9741737547693
184,8.215,2775.3371451943553
185,8.266,2784.2695370524757
186,8.307,2841.6778102094177
187,8.348,2930.040772169871
188,8.412,3068.0773678234377
189,8.457,3039.927737214384
190,8.535,2852.823222089824
191,8.588,2689.6398790886815
192,8.625,2602.9252923882837
193,8.672,2570.3428774764197
194,8.708,2597.96963207231
195,8.748,2669.5538722282768
196,8.787,2773.734369233275
197,8.851,2955.505089245652
198,8.894,3081.722369188179
199,8.956,3048.0468595184675
200,8.993,2954.298075684374
201,9.048,2804.7471455499362
202,9.091,2742.5272721586434
203,9.129,2739.855061325394
204,9.17,2783.705290423166
205,9.218,2877.9994839121364
206,9.257,2975.8400809978302
207,9.292,3066.1955095728995
208,9.328,3069.2452658035154
209,9.364,3001.377921534936
210,9.402,2898.091880377397
211,9.438,2832.509551204759
212,9.521,2837.0811680179854
213,9.575,2920.4061106781223
214,9.623,3029.642283025642
215,9.679,3134.7430282351183
216,9.719,3097.8220683821787
217,9.763,2999.536010120215
218,9.799,2885.628073394632
219,9.851,2791.1980849761967
220,9.895,2780.327195373235
221,9.985,2892.4658232590486
