,time,speed
0,0.01,4.266330107662457e-05
1,0.035,1.10326251036903
2,0.059,10.961601255125007
3,0.083,39.16191739229004
4,0.098,72.63808565907951
5,0.124,159.02168759042715
6,0.144,253.91383103267555
7,0.164,380.250814084362
8,0.176,475.7650617303923
9,0.192,623.2505583085587
10,0.23,1002.4545210209114
11,0.257,1328.8548921762401
12,0.282,1648.5522081419545
13,0.3,1895.386429849577
14,0.32,2162.895753244161
15,0.337,2376.695008428358
16,0.355,2571.3018066088216
17,0.415,2858.418514229633
18,0.427,2878.4738196392163
19,0.44,2894.9007183399517
20,0.454,2916.106268868515
21,0.471,2946.066549698548
22,0.483,2963.8595107632773
23,0.508,2966.6335867659086
24,0.526,2955.409740628606
25,0.544,2952.321733124686
26,0.563,2957.2395000166216
27,0.582,2969.558116189732
28,0.628,3000.4377956833246
29,0.646,3002.8471407181105
30,0.661,2991.079956131844
31,0.674,2977.506150137258
32,0.695,2967.8537552989537
33,0.707,2967.309970689365
34,0.731,2975.9136595557898
35,0.759,3000.2811230386565
36,0.797,3037.630204639204
37,0.822,3025.3375100453236
38,0.87,2954.6909118614412
39,0.927,2917.902926942741
40,0.951,2925.628052861301
41,0.969,2939.81357073587
42,1.015,2995.8256316189572
43,1.048,3026.793331071046
44,1.079,3001.4008305356588
45,1.102,2968.3005690324667
46,1.126,2949.4186405381156
47,1.157,2947.3045198270825
48,1.18,2959.765106488612
49,1.2,2979.022618066114
50,1.225,2987.705605180728
51,1.255,2967.912748792562
52,1.291,2942.529784488706
53,1.306,2940.443972285281
54,1.323,2945.1324202964897
55,1.341,2957.4272409524174
56,1.373,2992.1408878195125
57,1.401,3014.4186922219874
58,1.451,2961.1356923645944
59,1.484,2903.5188858519477
60,1.517,2871.182643961694
61,1.531,2865.785567001786
62,1.554,2868.8842764947804
63,1.57,2879.3205247376604
64,1.61,2924.1783058396068
65,1.648,2989.185456679405
66,1.673,3032.5280428810565
67,1.688,3038.682084670444
68,1.713,3020.656689862557
69,1.748,2981.257428376703
70,1.768,2971.943487062167
71,1.791,2974.0237785112668
72,1.821,2993.0307286852585
73,1.849,3005.795313975647
74,1.867,2991.7944308915876
75,1.882,2972.565974992292
76,1.907,2957.7676598359035
77,1.926,2956.6017678195417
78,1.966,2978.4580382667655
79,1.984,2992.519242319209
80,2.033,2987.7146972628566
81,2.086,2923.4256886473618
82,2.1,2913.808539805989
83,2.149,2921.262856479765
84,2.198,2972.7584060107856
85,2.219,2988.6512109866912
86,2.247,2971.7012467975087
87,2.275,2935.5700962530073
88,2.299,2920.1970380892953
89,2.324,2920.5043165268185
90,2.342,2930.3236029858967
91,2.356,2942.926430345436
92,2.367,2957.3865372756327
93,2.378,2967.690117503317
94,2.389,2968.158622745471
95,2.401,2965.600629403597
96,2.415,2967.720051140514
97,2.442,2982.8771444044723
98,2.459,2991.7656334724807
99,2.489,2968.356422508928
100,2.511,2940.5207490307716
101,2.529,2926.812765181973
102,2.543,2922.821395231026
103,2.561,2925.733242788845
104,2.576,2934.1675054366283
105,2.589,2945.7129432804077
106,2.618,2980.1815503835373
107,2.633,2996.27304899829
108,2.674,2973.3034929684277
109,2.699,2945.5717319346822
110,2.714,2937.1570637671575
111,2.745,2938.5138089754205
112,2.776,2960.8647633814826
113,2.797,2985.3622813919396
114,2.812,2998.362025931745
115,2.829,2994.4068502955747
116,2.843,2984.3057769477346
117,2.869,2980.884394135727
118,2.896,2993.3313246580524
119,2.915,2996.285553447104
120,2.933,2983.3164385731125
121,2.971,2954.3288972079654
122,3.003,2953.386786931201
123,3.02,2962.9548289897166
124,3.04,2980.7942415931097
125,3.065,2992.5347235214176
126,3.093,2966.5367147085835
127,3.122,2934.9817197698903
128,3.15,2925.494990971698
129,3.175,2933.4810924147237
130,3.205,2959.733771644299
131,3.219,2976.647827743264
132,3.234,2985.6424488870944
133,3.252,2977.143150051309
134,3.284,2960.341750027711
135,3.315,2966.969008343672
136,3.332,2979.53657325394
137,3.344,2986.517748869799
138,3.365,2976.7456796793176
139,3.385,2958.2885806468903
140,3.41,2950.10929511814
141,3.432,2955.4719367142875
142,3.461,2977.018507067018
143,3.484,2984.082393304216
144,3.5,2979.8184787483256
145,3.522,2983.8263545249715
146,3.548,3001.982799456479
147,3.567,3012.7276254977555
148,3.586,3001.4596711053296
149,3.599,2989.513929530062
150,3.649,2984.9476015999044
151,3.667,2996.683282651537
152,3.685,3003.3174743842224
153,3.711,2982.180946033167
154,3.734,2952.0613758039685
