,speed
131,4182.386633515138
132,4174.001401820423
133,4174.001401820423
134,4174.001401820423
135,4174.001401820423
136,4174.001401820423
137,4174.001401820423
138,4174.001401820423
139,4174.001401820423
140,4168.756353644621
141,4135.708781692725
142,3953.784649108252
143,3835.2510914467266
144,3845.794851925392
145,3865.814674528806
146,3865.814674528806
147,3865.814674528806
148,3865.814674528806
149,3865.814674528806
150,3865.814674528806
151,3865.814674528806
152,3865.814674528806
153,3870.850357284482
154,3981.6372350386346
155,4072.3523563066738
156,4133.52876844319
157,4136.557524799854
158,4125.119279997259
159,4076.4050849235155
160,4005.471412844532
161,4005.471412844532
162,4005.471412844532
163,4005.471412844532
164,4005.471412844532
165,4005.471412844532
166,4005.471412844532
167,4009.1967072604252
168,4011.1922655249273
169,3917.9040094066595
170,3859.778304708914
171,3845.8038033119506
172,3861.0201933265816
173,3933.1317604503643
174,4001.086264749598
175,4014.7487820465903
176,4014.7487820465903
177,4014.7487820465903
178,4014.7487820465903
179,4014.7487820465903
180,4014.7487820465903
181,4014.7487820465903
182,4014.7487820465903
183,3978.254922611761
184,3954.358888926807
185,3976.9088928499973
186,4290.972856073735
187,4358.856428587406
188,4358.856428587406
189,4358.856428587406
190,4358.856428587406
191,4358.856428587406
192,4358.856428587406
193,4412.307737410545
194,4408.329010429287
195,4241.620598631148
196,4107.061094861539
197,4107.061094861539
198,4107.061094861539
199,4107.061094861539
200,4107.061094861539
201,4107.061094861539
202,4107.061094861539
203,3984.1109862431153
204,3877.777659450033
205,4388.494648149284
206,4388.494648149284
207,4388.494648149284
208,4388.494648149284
209,4388.494648149284
210,4388.494648149284
211,4388.494648149284
212,4419.699661632384
213,4567.111458437195
214,4601.870811788048
215,4620.765157233897
216,4542.533287849273
217,4501.115850868211
218,4363.465094821967
219,4281.646803764556
220,4281.646803764556
221,4281.646803764556
222,4281.646803764556
223,4281.646803764556
224,4281.646803764556
225,4281.646803764556
226,4281.646803764556
227,4097.182610221348
228,3978.1716634103473
229,4079.633624563213
230,4229.659242239093
231,4229.659242239093
232,4229.659242239093
233,4229.659242239093
234,4229.659242239093
235,4229.659242239093
236,4229.659242239093
237,4239.885319651548
238,4225.2975017181625
239,4163.569380738912
240,3782.7586886567883
241,3782.7586886567883
242,3782.7586886567883
243,3782.7586886567883
244,3782.7586886567883
245,3782.7586886567883
246,3782.7586886567883
247,3782.7586886567883
248,3765.751035398944
249,3705.6766963954615
250,3690.725513296379
251,3748.793291902823
252,3845.5857648241868
253,3995.92363068403
254,4009.1148151615726
255,3992.6975472957847
256,3992.6975472957847
257,3992.6975472957847
258,3992.6975472957847
259,3992.6975472957847
260,3992.6975472957847
261,3992.6975472957847
262,3983.076210202217
263,4501.563318545297
264,4721.448518130162
265,4750.34845056197
266,4750.34845056197
267,4750.34845056197
268,4750.34845056197
269,4750.34845056197
270,4750.34845056197
271,4750.34845056197
272,4749.390522981927
273,4719.231652735929
274,4630.510832673733
275,4315.3408031068175
276,4259.488187467024
277,4178.92688417848
278,4127.457118501572
279,4127.457118501572
280,4127.457118501572
281,4127.457118501572
282,4127.457118501572
283,4127.457118501572
284,4127.457118501572
285,4104.68464455029
286,3946.523887948128
287,3790.010069496558
288,3951.606506411179
289,4006.776682171861
290,4006.776682171861
291,4006.776682171861
292,4006.776682171861
293,4006.776682171861
294,4006.776682171861
295,4006.776682171861
296,4006.776682171861
297,4006.776682171861
298,4092.8527527642336
299,4103.929041165852
300,4084.9922819838725
301,4052.7813839159157
302,4020.524435477732
303,4139.42085078126
304,4224.214213487417
305,4224.214213487417
306,4224.214213487417
307,4224.214213487417
308,4224.214213487417
309,4224.214213487417
310,4224.214213487417
311,4224.214213487417
312,4269.661048063312
313,4253.4770708012065
314,4187.916656162522
315,4117.347085611237
316,4050.7278591001714
317,4034.069208682535
318,4077.2723256954814
319,4077.2723256954814
320,4077.2723256954814
321,4077.2723256954814
322,4077.2723256954814
323,4077.2723256954814
324,4077.2723256954814
325,4093.148120415376
326,4122.215827289011
327,4085.3738407459505
328,3974.7374450227962
329,3943.1936332627083
330,3943.1936332627083
331,3943.1936332627083
332,3943.1936332627083
333,3943.1936332627083
334,3943.1936332627083
335,3943.1936332627083
336,3943.1936332627083
337,3943.1936332627083
338,4052.300685460465
339,4481.783933164336
340,4590.502829385975
341,4612.217844531541
342,4600.317250169876
343,4580.502301355332
344,4519.435411375324
345,4519.435411375324
346,4519.435411375324
347,4519.435411375324
348,4519.435411375324
349,4519.435411375324
350,4519.435411375324
351,4519.435411375324
352,4238.883770025077
353,4117.071539003261
354,4185.279150337783
355,4234.159010497681
356,4234.159010497681
357,4234.159010497681
358,4234.159010497681
359,4234.159010497681
360,4234.159010497681
361,4234.159010497681
362,4234.159010497681
363,4234.159010497681
364,4251.610114217436
365,4201.083599872703
366,4139.051306210007
367,4066.641331819892
368,4218.953049409137
369,4218.953049409137
370,4218.953049409137
371,4218.953049409137
372,4218.953049409137
373,4218.953049409137
374,4218.953049409137
375,4218.953049409137
376,4218.953049409137
377,4323.358136227714
378,4278.509100305383
379,4192.193496616387
380,4156.647599109179
381,4153.852570886403
382,4171.454378897612
383,4171.454378897612
384,4171.454378897612
385,4171.454378897612
386,4171.454378897612
387,4171.454378897612
388,4171.454378897612
389,4171.454378897612
390,4174.108659841017
391,4146.016476469533
392,4090.350978878347
393,4046.577985875891
394,4061.550911228276
395,4087.8477908373156
396,4085.1455347908777
397,4062.260115801753
398,4062.260115801753
399,4062.260115801753
400,4062.260115801753
401,4062.260115801753
402,4062.260115801753
403,4062.260115801753
404,4062.260115801753
405,4055.198055715899
406,3990.63145370543
407,3944.3066942593045
408,4046.4042771162617
409,4104.4668679050255
410,4143.536345531938
411,4145.180953927502
412,4127.443679099867
413,4127.443679099867
414,4127.443679099867
415,4127.443679099867
416,4127.443679099867
417,4127.443679099867
418,4127.443679099867
419,4118.330526939206
420,4069.1650034921504
421,4049.3814437001674
422,4458.796800777322
423,4514.361162136574
424,4514.361162136574
425,4514.361162136574
426,4514.361162136574
427,4514.361162136574
428,4514.361162136574
429,4515.062249277971
430,4377.504854196831
431,4333.428718400921
432,4269.26486584629
433,4171.881056759867
434,4175.600151350679
435,4205.666446254757
436,4205.666446254757
437,4205.666446254757
438,4205.666446254757
439,4205.666446254757
440,4205.666446254757
441,4207.180577823674
442,4241.281621608489
443,4238.113213133517
444,4220.179419754522
445,4147.846832915382
446,4100.9301198646945
447,4038.419463419885
448,3959.0531295868923
449,3951.1754826404895
450,3959.429225568835
451,3959.429225568835
452,3959.429225568835
453,3959.429225568835
454,3959.429225568835
455,3959.429225568835
456,3959.429225568835
457,3959.429225568835
458,4280.070640450098
459,4718.715105470638
460,4788.224076536414
461,4787.266017437252
462,4763.851446237923
463,4763.851446237923
464,4763.851446237923
465,4763.851446237923
466,4763.851446237923
467,4763.851446237923
468,4763.851446237923
469,4763.851446237923
470,4701.170527684319
471,4636.684375995482
472,4564.0676052494455
473,4474.448581088903
474,4273.092346621289
475,4128.458281353039
476,4128.458281353039
477,4128.458281353039
478,4128.458281353039
479,4128.458281353039
480,4128.458281353039
481,4128.458281353039
482,4128.458281353039
483,4112.945680555303
484,4027.7952401886
485,3984.4491739000537
486,3996.7303684717403
487,3947.251013461342
488,3933.9053613750207
489,3933.9053613750207
490,3933.9053613750207
491,3933.9053613750207
492,3933.9053613750207
493,3933.9053613750207
494,3933.9053613750207
495,3915.4093683124133
496,4046.7302507434497
497,4326.738145455301
498,4338.329405305598
499,4323.511115951762
500,4302.932091347954
501,4302.932091347954
502,4302.932091347954
503,4302.932091347954
504,4302.932091347954
505,4302.932091347954
506,4302.932091347954
507,4302.932091347954
508,4302.932091347954
509,4302.932091347954
510,4226.532108628654
511,4169.366918209246
512,4126.341354905976
513,4105.522741828356
514,4174.351090966702
515,4228.23196759494
516,4226.982438051092
517,4226.982438051092
518,4226.982438051092
519,4226.982438051092
520,4226.982438051092
521,4226.982438051092
522,4226.982438051092
523,4173.0635287682935
524,3857.1332496488385
525,3697.91979019895
526,3697.452682660908
527,3697.452682660908
528,3697.452682660908
529,3697.452682660908
530,3697.452682660908
531,3697.452682660908
532,3697.452682660908
533,3696.4497529108903
534,3721.019460188545
535,3802.1050469378974
536,3895.4073246140697
537,3942.973000895152
538,3946.44015210286
539,3955.952651500321
540,4032.439927249951
541,4086.1936698667937
542,4086.1936698667937
543,4086.1936698667937
544,4086.1936698667937
545,4086.1936698667937
546,4086.1936698667937
547,4086.1936698667937
548,4092.268918162222
549,4113.67521515795
550,4118.64609383901
551,4101.383971066811
552,4065.191698251994
553,4022.455808523654
554,4045.480674399532
555,4120.770072374078
556,4123.686477722173
557,4118.049849789901
558,4118.049849789901
559,4118.049849789901
560,4118.049849789901
561,4118.049849789901
562,4118.049849789901
563,4118.049849789901
564,4115.57951510606
565,4097.163498708991
566,4067.5891471860914
567,4045.439236111332
568,4081.7640418656633
569,4135.516620131751
570,4142.486398938091
571,4065.802902417152
572,4065.802902417152
573,4065.802902417152
574,4065.802902417152
575,4065.802902417152
576,4065.802902417152
577,4065.802902417152
578,4065.802902417152
579,4000.2755235391764
580,3936.382028244725
581,3971.3960379903506
582,4022.1798769215807
583,4024.9984492969415
584,4011.22788557767
585,3937.9680924864692
586,3937.9680924864692
587,3937.9680924864692
588,3937.9680924864692
589,3937.9680924864692
590,3937.9680924864692
591,3937.9680924864692
592,3925.039468604454
593,3904.450989394667
594,3932.1398487513516
595,3970.8621777654744
596,3947.641419697775
597,3927.618773725417
598,4037.9283402024407
599,4037.9283402024407
600,4037.9283402024407
601,4037.9283402024407
602,4037.9283402024407
603,4037.9283402024407
604,4037.9283402024407
605,4037.9283402024407
606,4106.560832691035
607,4121.109836033501
608,3962.9546144249794
609,3888.8314445463498
610,3894.3048789444256
611,3894.3048789444256
612,3894.3048789444256
613,3894.3048789444256
614,3894.3048789444256
615,3894.3048789444256
616,3896.4544999926325
617,3927.0546650271153
618,4023.4550621296044
619,4162.577734759743
620,4153.723588692676
621,4099.988164227955
622,4042.3034420280565
623,4042.3034420280565
624,4042.3034420280565
625,4042.3034420280565
626,4042.3034420280565
627,4042.3034420280565
628,4042.3034420280565
629,4042.3034420280565
630,4042.3034420280565
631,3973.7801796984522
632,3930.840786681463
633,4053.4565101395606
634,4381.081229621272
635,4381.081229621272
636,4381.081229621272
637,4381.081229621272
638,4381.081229621272
639,4381.081229621272
640,4381.081229621272
641,4381.081229621272
642,4516.230187367615
643,4450.637389716084
644,4385.196731443644
645,4307.4652350924225
646,4259.823865295492
647,4186.719016670028
648,4155.58748503989
649,4155.58748503989
650,4155.58748503989
651,4155.58748503989
652,4155.58748503989
653,4155.58748503989
654,3923.293037418982
655,3827.0352473678217
656,3856.11739527283
657,3932.743132825454
658,4026.211080846799
659,4041.069685040562
660,4041.069685040562
661,4041.069685040562
662,4041.069685040562
663,4041.069685040562
664,4041.069685040562
665,4041.069685040562
666,4073.8146335424467
667,4017.9548462586154
668,4007.466438306117
669,4183.763175046376
670,4183.763175046376
671,4183.763175046376
672,4183.763175046376
673,4183.763175046376
674,4183.763175046376
675,4183.763175046376
676,4183.763175046376
677,4249.287654996282
678,4193.93360152552
679,4088.264410039444
680,3871.6091474263967
681,3871.6091474263967
682,3871.6091474263967
683,3871.6091474263967
684,3871.6091474263967
685,3871.6091474263967
686,3871.6091474263967
687,3799.094532099784
688,3792.3476800928674
689,4742.277526912188
690,4742.277526912188
691,4742.277526912188
692,4742.277526912188
693,4742.277526912188
694,4742.277526912188
695,4742.277526912188
696,4742.277526912188
697,4742.277526912188
698,4922.341672157799
699,4989.622877419989
700,5010.163715280544
701,4977.327051705143
702,4927.639106705741
703,4838.832764038101
704,4758.598424007602
705,4674.129179912222
706,4628.757474650035
707,4628.757474650035
708,4628.757474650035
709,4628.757474650035
710,4628.757474650035
711,4628.757474650035
712,4628.757474650035
713,4609.4889204585115
714,4496.789734578716
715,4399.86129316285
716,4321.188637537906
717,4176.535433636669
718,4182.55504407862
719,4187.999249048185
720,4179.566379810608
721,4179.566379810608
722,4179.566379810608
723,4179.566379810608
724,4179.566379810608
725,4179.566379810608
726,4179.566379810608
727,4179.566379810608
728,4014.4680567955475
729,3965.249540821927
730,3969.2590072012304
731,4057.93595739477
732,4156.857313396262
733,4156.857313396262
734,4156.857313396262
735,4156.857313396262
736,4156.857313396262
737,4156.857313396262
738,4156.857313396262
739,4170.494234006756
740,4173.989754345204
741,4109.036820755298
742,3895.5114533583683
743,3774.3053744248227
744,3774.3053744248227
745,3774.3053744248227
746,3774.3053744248227
747,3774.3053744248227
748,3774.3053744248227
749,3774.3053744248227
750,3769.8586779006064
751,3771.267924784652
752,3861.8498555582482
753,4028.328385763311
754,4045.912436530651
755,4045.044470473865
756,4032.51549086482
757,3996.8354409389894
758,3964.5037842459437
759,3963.5817885371475
760,3963.5817885371475
761,3963.5817885371475
